"patch","UBA","GA","GAD","GSD","ASD","pollenfem","pollenmale","total_seeds","seeds_pred"
"0",526.21,41.27,5.26,4.41,6.23,22,0,NA,NA
"0",690.84,47.82,7.5,6.23,6.72,60,0,0,0
"0",404.43,42.34,5.55,4.8,4.37,120,30,0,0
"0",456.99,33.11,3.72,5,5.47,28,2,NA,NA
"0",342.99,33.29,4.64,5.1,5.42,30,0,NA,NA
"0",464.24,35.96,4.62,4.15,6.12,22,0,0,0
"0",406.49,38.68,5.1,4.59,4.16,40,0,0,0
"0",333.16,35.15,3.63,4.92,5.63,0,0,0,0
"1",660.37,52.37,5.14,5.13,4.59,100,0,4,0
"1",704.17,49.23,4.51,4.7,3.86,12,28,6,0
"1",814.48,49.21,5.01,4.52,3.53,70,20,9,0
"1",543.02,30.81,3.92,4.55,4.23,50,0,3,0
"1",515.1,42.75,4.58,5.66,5.2,6,54,0,0
"1",528.81,41.54,NA,4.59,NA,5,0,0,0
"1",447.82,39.71,NA,4.65,NA,13,9,0,0
"2",707.47,45.43,6.51,4.14,2.28,18,102,9,0
"2",311.25,20.47,3.15,3.41,2.17,45,0,0,0
"2",431.91,33.94,5.84,5.22,3.88,3,47,9,0
"2",319.87,26.54,3.79,4.14,3.41,3,6,0,0
"2",415.02,31,6.35,4.66,5.14,0,15,8,0
"2",423.76,33.25,NA,3.57,NA,40,1,1,0
"2",441.63,31.67,6.04,5.42,4.31,3,29,9,0
"3",504.76,44.98,3.74,4.81,5.75,4,1,2,0
"3",286.76,37.15,4.43,4.1,5.04,9,4,0,0
"3",299.98,16.79,2.69,3.91,5.06,0,2,NA,NA
"4",362.68,32.1,3.39,3.22,3.34,6,7,0,0
"4",393.02,43.23,5.53,3.93,3.5,5,NA,0,0
"4",392.26,30.41,NA,4.61,NA,0,5,0,0
"4",282.42,36.02,NA,4.12,NA,15,0,0,0
"4",313.02,30.32,4.25,4.04,2.61,1,6,NA,NA
"5",375.52,36.11,5.04,4.6,6.15,0,32,0,0
"5",567.96,42.21,4.85,4.17,4.44,8,22,NA,NA
"6",542.23,35.63,6.42,4.69,4.16,50,40,9,3
"6",420.19,36.42,5.48,4.83,4.11,30,0,0,0
"7",744.22,50.95,7.52,4.57,5.88,10,2,0,0
"7",619.99,51.18,7.55,4.59,5.91,110,0,0,0
"7",349.87,31.63,5.75,4.63,5.77,0,2,0,0
"7",382.75,39.85,7.04,4.29,5.42,3,0,0,0
"7",357.19,34.69,6.1,4.14,5.77,3,12,0,0
"7",350.6,35.85,4.91,4.51,4.48,0,68,0,0
"7",358.28,32.71,5.17,4.19,5.39,0,29,0,0
"7",508.66,40.16,6.45,6.03,5.19,5,11,0,0
"8",698.63,46.06,7.25,6.27,3.98,0,6,5,0
"8",497.95,30.35,4.82,4.76,2.34,80,0,0,0
"8",377.24,35.78,6.32,4.96,4.38,20,20,0,0
"8",252.83,26.55,5.03,4.19,3.42,14,0,3,2
"8",342.03,29.05,6.96,4.87,3.75,1,10,NA,NA
"8",346.89,38.54,4.82,5.04,1.52,19,5,0,0
"8",346.13,25.43,4.49,5.9,1.63,1,6,0,0
"9",482.68,43.57,6.42,6.17,4,37,11,9,0
"9",490.17,34.77,5.43,5.05,4.34,0,0,NA,NA
"9",416.14,40.72,6.78,6.61,4.34,0,45,0,0
"9",455.59,50.49,6.5,6.12,4.77,2,4,0,0
