pop	year	ID	date	rain	patch	moist	openBl	fruit	blossom	stage	pollen	resin	height	ASD	GAD	GSD	GW	GHl	GHr	UBL	UBW	pollenfem	pollenmale	DIFF	pollentot	GA	UBA	pollentot	lnpoll	EuglossaObs	EufrObs	HypantObs	seeds_GH	seeds_undeveloped	seeds_pred	total_seeds	seeds_surviving	small_black	empty_cap
PV	2015	212	07.11.2015	0	0	64.51666667	11	5	1	M1	13	1	79	6.23	5.26	4.41	9.07	4.63	4.47	23.13	22.75	22	0	9	22	41.27	526.21	22	3.09	1	0	0	NA	NA	NA	NA	NA	NA	NA
PV	2015	213	07.11.2015	0	0	64.51666667	11	5	2	M3	60	1	115	6.72	7.50	6.23	9.87	4.93	4.76	26.53	26.04	60	0	0	60	47.82	690.84	60	4.09	1	0	0	0	0	0	0	0	0	0
PV	2015	283	09.11.2015	0	0	64.51666667	11	5	3	M1	150	1	105	4.37	5.55	4.80	9.60	4.49	4.33	20.74	19.50	120	30	0	150	42.34	404.43	150	4.79	1	0	0	0	0	0	0	0	0	0
PV	2015	300	10.11.2015	0	0	64.51666667	11	5	4	M2	30	1	87	5.47	3.72	5.00	8.32	4.03	3.93	21.72	21.04	28	2	0	30	33.11	456.99	30	3.33	1	0	0	NA	NA	NA	NA	NA	NA	NA
PV	2015	285	09.11.2015	0	0	64.51666667	11	5	5	M1	10	1	99	5.42	4.64	5.10	8.18	4.14	4.00	18.53	18.51	30	0	20	30	33.29	342.99	30	3.40	1	0	0	NA	NA	NA	NA	NA	NA	NA
PV	2015	366	12.11.2015	0	0	64.51666667	11	5	6	M2	14	1	124	6.12	4.62	4.15	8.46	4.37	4.13	22.58	20.56	22	0	8	22	35.96	464.24	22	3.09	1	0	0	0	0	0	0	0	0	0
PV	2015	367	12.11.2015	0	0	64.51666667	11	5	7	M1	25	1	124	4.16	5.10	4.59	9.07	4.49	4.04	20.54	19.79	40	0	15	40	38.68	406.49	40	3.69	1	0	0	0	0	0	0	0	0	0
PV	2015	417	14.11.2015	0	0	64.51666667	11	5	9	M2	0	1	98	5.63	3.63	4.92	8.68	4.23	3.87	17.96	18.55	0	0	0	0	35.15	333.16	0	0.00	1	0	0	0	0	0	0	0	0	0
PV	2015	80	26.10.2015	1	1	26.80833333	7	50	2	M3	40	1	185	4.59	5.14	5.13	10.11	5.21	5.15	27.02	24.44	100	0	60	100	52.37	660.37	100	4.61	3	4	6	3	1	0	4	4	0	2
PV	2015	81	26.10.2015	1	1	26.80833333	7	50	3	M1	40	1	206	3.86	4.51	4.70	10.15	4.91	4.79	29.11	24.19	12	28	0	40	49.23	704.17	40	2.48	3	4	6	6	0	0	6	6	0	0
PV	2015	84	26.10.2015	1	1	26.80833333	7	50	6	M2	90	1	202	3.53	5.01	4.52	10.56	5.02	4.30	30.84	26.41	70	20	0	90	49.21	814.48	90	4.25	3	4	6	4	5	0	9	9	0	0
PV	2015	113	28.10.2015	1	1	26.80833333	7	50	7	M1	35	1	158	4.23	3.92	4.55	7.93	3.94	3.83	25.14	21.60	50	0	15	50	30.81	543.02	50	3.91	3	4	6	3	0	0	3	3	0	3
PV	2015	112	28.10.2015	1	1	26.80833333	7	50	8	M1	60	1	175	5.20	4.58	5.66	9.48	4.25	4.77	23.65	21.78	6	54	0	60	42.75	515.10	60	1.79	3	4	6	0	0	0	0	0	0	0
PV	2015	291	09.11.2015	0	1	26.80833333	7	50	10	M2	3	1	179	NA	NA	4.59	9.03	4.59	4.61	23.65	22.36	5	0	2	5	41.54	528.81	5	1.61	3	4	6	0	0	0	0	0	0	0
PV	2015	342	11.11.2015	0	1	26.80833333	7	50	12	M1	22	1	234	NA	NA	4.65	9.29	4.13	4.42	21.53	20.80	13	9	0	22	39.71	447.82	22	2.56	3	4	6	0	0	0	0	0	0	0
PV	2015	74	26.10.2015	1	2	53.93	7.5	50	1	M1	120	1	204	2.28	6.51	4.14	9.94	4.55	4.59	26.30	26.90	18	102	0	120	45.43	707.47	120	2.89	3	2	1	8	1	0	9	9	0	0
PV	2015	114	28.10.2015	1	2	53.93	7.5	50	7	M1	25	0	133	2.17	3.15	3.41	7.06	2.83	2.97	16.39	18.99	45	0	20	45	20.47	311.25	45	3.81	3	2	1	0	0	0	0	0	0	0
PV	2015	190	07.11.2015	0	2	53.93	7.5	50	8	M1	50	1	42	3.88	5.84	5.22	8.33	4.03	4.12	19.74	21.88	3	47	0	50	33.94	431.91	50	1.10	3	2	1	9	0	0	9	9	0	0
PV	2015	191	07.11.2015	0	2	53.93	7.5	50	9	M1	9	1	60	3.41	3.79	4.14	7.55	3.60	3.43	17.96	17.81	3	6	0	9	26.54	319.87	9	1.10	3	2	1	0	0	0	0	0	0	0
PV	2015	289	09.11.2015	0	2	53.93	7.5	50	10	M2	15	1	40	5.14	6.35	4.66	8.40	3.68	3.70	19.81	20.95	0	15	0	15	31.00	415.02	15	0.00	3	2	1	8	0	0	8	8	0	1
PV	2015	339	11.11.2015	0	2	53.93	7.5	50	11	M1	41	1	46	NA	NA	3.57	8.27	4.08	3.96	21.22	19.97	40	1	0	41	33.25	423.76	41	3.69	3	2	1	0	1	0	1	1	0	0
PV	2015	340	11.11.2015	0	2	53.93	7.5	50	12	M3	32	1	18	4.31	6.04	5.42	8.12	3.84	3.96	21.06	20.97	3	29	0	32	31.67	441.63	32	1.10	3	2	1	6	3	0	9	9	0	0
PV	2015	73	26.10.2015	1	3	37.95833333	1	30	1	M2	5	1	196	5.75	3.74	4.81	9.18	5.24	4.56	21.87	23.08	4	1	0	5	44.98	504.76	5	1.39	1	4	0	2	0	0	2	2	0	1
PV	2015	171	06.11.2015	0	3	37.95833333	1	30	3	M2	13	1	177	5.04	4.43	4.10	8.73	4.00	4.51	17.11	16.76	9	4	0	13	37.15	286.76	13	2.20	1	4	0	0	0	0	0	0	0	0
PV	2015	194	07.11.2015	0	3	37.95833333	1	30	4	M2	2	1	173	5.06	2.69	3.91	7.79	2.33	1.98	17.26	17.38	0	2	0	2	16.79	299.98	2	0.00	1	4	0	NA	NA	NA	NA	NA	NA	NA
PV	2015	91	27.10.2015	1	4	39.75222222	22.5	35	1	M3	13	1	NA	3.34	3.39	3.22	8.98	3.75	3.40	18.08	20.06	6	7	0	13	32.10	362.68	13	1.79	5	10	0	0	0	0	0	0	0	0
PV	2015	92	27.10.2015	1	4	39.75222222	22.5	35	3	M3	NA	1	NA	3.50	5.53	3.93	9.49	4.61	4.50	19.92	19.73	5	NA	0	NA	43.23	393.02	NA	1.61	5	10	0	0	0	0	0	0	0	0
PV	2015	168	06.11.2015	0	4	39.75222222	22.5	35	4	M1	5	1	68	NA	NA	4.61	8.40	3.90	3.34	18.39	21.33	0	5	0	5	30.41	392.26	5	0.00	5	10	0	0	0	0	0	0	0	0
PV	2015	195	07.11.2015	0	4	39.75222222	22.5	35	5	M1	9	1	142	NA	NA	4.12	8.27	4.51	4.20	15.69	18.00	15	0	6	15	36.02	282.42	15	2.71	5	10	0	0	0	0	0	0	0	0
PV	2015	170	06.11.2015	0	4	39.75222222	22.5	35	6	M3	7	1	235	2.61	4.25	4.04	7.60	3.87	4.11	17.18	18.22	1	6	0	7	30.32	313.02	7	0.00	5	10	0	NA	NA	NA	NA	NA	NA	NA
PV	2015	66	26.10.2015	1	5	44.62666667	0	15	1	M3	32	NA	226	6.15	5.04	4.60	8.34	4.01	4.65	19.89	18.88	0	32	0	32	36.11	375.52	32	0.00	1	1	0	0	0	0	0	0	0	0
PV	2015	67	26.10.2015	1	5	44.62666667	0	15	2	M2	30	1	129	4.44	4.85	4.17	9.36	4.67	4.35	23.45	24.22	8	22	0	30	42.21	567.96	30	2.08	1	1	0	NA	NA	NA	NA	NA	NA	NA
PV	2015	64	26.10.2015	1	6	24.17777778	0	12	1	M1	90	1	211	4.16	6.42	4.69	8.67	3.36	4.86	24.25	22.36	50	40	0	90	35.63	542.23	90	3.91	0	0	0	3	3	3	9	6	0	0
PV	2015	196	07.11.2015	0	6	24.17777778	0	12	2	M3	22	1	232	4.11	5.48	4.83	8.61	4.47	3.99	21.02	19.99	30	0	8	30	36.42	420.19	30	3.40	0	0	0	0	0	0	0	0	0	0
PV	2015	106	27.10.2015	1	7	22.00777778	4	15	1	M3	12	0	140	5.88	7.52	4.57	10.10	5.30	4.79	27.79	26.78	10	2	0	12	50.95	744.22	12	2.30	2	1	2	0	0	0	0	0	0	0
PV	2015	107	27.10.2015	1	7	22.00777778	4	15	2	M1	100	1	130	5.91	7.55	4.59	10.37	4.79	5.08	25.42	24.39	110	0	10	110	51.18	619.99	110	4.70	2	1	2	0	0	0	0	0	0	0
PV	2015	165	06.11.2015	0	7	22.00777778	4	15	4	M1	2	0	117	5.77	5.75	4.63	8.27	4.51	3.14	18.81	18.60	0	2	0	2	31.63	349.87	2	0.00	2	1	2	0	0	0	0	0	0	0
PV	2015	166	06.11.2015	0	7	22.00777778	4	15	5	M1	2	1	160	5.42	7.04	4.29	8.72	4.75	4.39	19.36	19.77	3	0	1	3	39.85	382.75	3	1.10	2	1	2	0	0	0	0	0	0	0
PV	2015	227	08.11.2015	0	7	22.00777778	4	15	6	M1	15	1	181	5.77	6.10	4.14	8.23	4.32	4.11	18.76	19.04	3	12	0	15	34.69	357.19	15	1.10	2	1	2	0	0	0	0	0	0	0
PV	2015	228	08.11.2015	0	7	22.00777778	4	15	7	M1	68	1	181	4.48	4.91	4.51	8.03	4.62	4.31	18.57	18.88	0	68	0	68	35.85	350.60	68	0.00	2	1	2	0	0	0	0	0	0	0
PV	2015	229	08.11.2015	0	7	22.00777778	4	15	8	M1	29	1	154	5.39	5.17	4.19	8.42	4.13	3.64	19.18	18.68	0	29	0	29	32.71	358.28	29	0.00	2	1	2	0	0	0	0	0	0	0
PV	2015	334	11.11.2015	0	7	22.00777778	4	15	9	M1	16	1	146	5.19	6.45	6.03	9.21	4.34	4.38	22.29	22.82	5	11	0	16	40.16	508.66	16	1.61	2	1	2	0	0	0	0	0	0	0
PV	2015	60	26.10.2015	1	8	25.72	5	7	1	M1	6	NA	107	3.98	7.25	6.27	10.19	4.63	4.41	24.88	28.08	0	6	0	6	46.06	698.63	6	0.00	0	2	0	5	0	0	5	5	0	1
PV	2015	161	06.11.2015	0	8	25.72	5	7	2	M4	53	0	97	2.34	4.82	4.76	8.50	4.04	3.10	22.20	22.43	80	0	27	80	30.35	497.95	80	4.38	0	2	0	0	0	0	0	0	0	0
PV	2015	200	07.11.2015	0	8	25.72	5	7	3	M1	40	1	129	4.38	6.32	4.96	9.07	3.92	3.97	18.62	20.26	20	20	0	40	35.78	377.24	40	3.00	0	2	0	0	0	0	0	0	0	0
PV	2015	274	09.11.2015	0	8	25.72	5	7	4	M1	8	1	141	3.42	5.03	4.19	8.35	3.06	3.30	15.53	16.28	14	0	6	14	26.55	252.83	14	2.64	0	2	0	1	0	2	3	1	3	0
PV	2015	275	09.11.2015	0	8	25.72	5	7	5	M2	11	1	123	3.75	6.96	4.87	8.47	3.34	3.52	18.31	18.68	1	10	0	11	29.05	342.03	11	0.00	0	2	0	NA	NA	NA	NA	NA	NA	NA
PV	2015	396	13.11.2015	0	8	25.72	5	7	6	M1	24	1	88	1.52	4.82	5.04	8.75	4.59	4.22	18.67	18.58	19	5	0	24	38.54	346.89	24	2.94	0	2	0	0	0	0	0	0	0	0
PV	2015	422	14.11.2015	0	8	25.72	5	7	7	M2	7	1	95	1.63	4.49	5.90	8.15	3.24	3.00	18.49	18.72	1	6	0	7	25.43	346.13	7	0.00	0	2	0	0	0	0	0	0	0	0
PV	2015	225	08.11.2015	0	9	23.08888889	8.5	2	1	M2	48	1	121	4.00	6.42	6.17	9.31	5.00	4.36	21.50	22.45	37	11	0	48	43.57	482.68	48	3.61	0	6	2	8	1	0	9	9	0	0
PV	2015	58	26.10.2015	1	9	23.08888889	8.5	2	2	M1	0	NA	110	4.34	5.43	5.05	8.65	4.95	3.09	22.25	22.03	0	0	0	0	34.77	490.17	0	0.00	0	6	2	NA	NA	NA	NA	NA	NA	NA
PV	2015	309	10.11.2015	0	9	23.08888889	8.5	2	3	M3	45	0	130	4.34	6.78	6.61	8.70	4.45	4.91	20.27	20.53	0	45	0	45	40.72	416.14	45	0.00	0	6	2	0	0	0	0	0	0	0
PV	2015	332	11.11.2015	0	9	23.08888889	8.5	2	4	M2	6	1	145	4.77	6.50	6.12	9.87	5.33	4.90	21.22	21.47	2	4	0	6	50.49	455.59	6	0.69	0	6	2	0	0	0	0	0	0	0
PV	2015	369	12.11.2015	0	9	23.08888889	8.5	2	5	M1	10	1	135	3.54	5.52	4.54	8.93	4.43	4.31	17.72	18.60	14	0	4	14	39.02	329.59	14	2.64	0	6	2	0	0	0	0	0	0	0
PV	2015	394	13.11.2015	0	9	23.08888889	8.5	2	6	M3	65	1	146	5.10	6.54	5.98	9.42	4.09	4.13	22.19	22.34	13	52	0	65	38.72	495.72	65	2.56	0	6	2	4	0	2	6	4	0	6
PV	2015	395	13.11.2015	0	9	23.08888889	8.5	2	7	M1	21	1	151	3.94	6.59	5.79	9.34	4.18	4.28	22.07	22.22	12	9	0	21	39.51	490.40	21	2.48	0	6	2	9	0	0	9	9	0	0
PV	2015	202	07.11.2015	0	9	23.08888889	8.5	2	2b	M1	50	1	121	4.18	6.48	5.90	9.40	4.99	4.77	21.77	21.24	33	17	0	50	45.87	462.39	50	3.50	0	6	2	0	0	0	0	0	0	0
PV	2015	203	07.11.2015	0	10	36.65222222	12.5	20	3	M3	270	1	106	3.95	5.81	6.29	9.07	4.76	4.54	27.37	26.58	240	30	0	270	42.18	727.49	270	5.48	2	6	0	3	0	0	3	3	0	0
