Species	Date	Observer	Plant_ID	Height_cm	Flowers	Flower_Size_cm	Bombus	Other_bees	Hoverflies	Diptera_large	Diptera_small	Coleoptera	Neuroptera	Hemiptera	Formicidae	Notes
Aegopodium	01.07.2019	OO	OO_1	118.00	1.00	13.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	NA
Aegopodium	01.07.2019	OO	OO_2	72.00	4.00	8.00	0.00	0.00	0.00	1.00	1.00	0.00	0.00	0.00	0.00	NA
Aegopodium	01.07.2019	OO	OO_3	92.00	3.00	8.50	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	NA
Aegopodium	02.07.2019	OO	OO_4	80.50	4.00	7.80	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	NA
Aegopodium	02.07.2019	OO	OO_5	70.00	3.00	7.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	No_visits
Aegopodium	02.07.2019	OO	OO_6	97.00	8.00	8.10	0.00	0.00	0.00	2.00	1.00	0.00	0.00	0.00	0.00	NA
Aegopodium	02.07.2019	OO	OO_7	96.50	4.00	9.00	0.00	0.00	0.00	5.00	2.00	0.00	0.00	0.00	0.00	NA
Aegopodium	02.07.2019	OO	OO_8	85.00	2.00	11.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	No_visits
Aegopodium	02.07.2019	SE	SE_1	90.00	4.00	6.80	0.00	0.00	0.00	0.00	2.00	5.00	0.00	0.00	0.00	Coleoptera_always_small_black
Aegopodium	02.07.2019	SE	SE_2	90.00	6.00	10.10	0.00	0.00	0.00	0.00	1.00	1.00	0.00	0.00	0.00	NA
Aegopodium	02.07.2019	SE	SE_3	74.00	5.00	8.80	0.00	0.00	0.00	2.00	0.00	1.00	0.00	0.00	0.00	NA
Aegopodium	02.07.2019	SE	SE_4	80.00	4.00	8.50	0.00	0.00	0.00	0.00	0.00	3.00	0.00	0.00	0.00	NA
Aegopodium	02.07.2019	SE	SE_5	111.00	5.00	11.20	1.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	NA
Aegopodium	02.07.2019	NR	NR_1	75.00	5.00	7.00	0.00	0.00	0.00	0.00	1.00	3.00	0.00	1.00	0.00	NA
Aegopodium	02.07.2019	NR	NR_2	74.00	4.00	7.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00	0.00	NA
Aegopodium	02.07.2019	NR	NR_3	83.00	4.00	5.30	0.00	0.00	0.00	0.00	0.00	5.00	0.00	0.00	1.00	NA
Aegopodium	02.07.2019	NR	NR_4	59.50	3.00	5.50	0.00	0.00	0.00	0.00	0.00	3.00	0.00	1.00	0.00	NA
Aegopodium	02.07.2019	NR	NR_5	81.00	5.00	7.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	1.00	0.00	NA
Aegopodium	02.07.2019	KV	KV_1	104.00	4.00	8.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	no_visits
Aegopodium	02.07.2019	KV	KV_2	107.00	6.00	8.50	0.00	0.00	0.00	0.00	4.00	0.00	0.00	0.00	0.00	NA
Aegopodium	02.07.2019	KV	KV_3	94.00	4.00	9.80	0.00	0.00	0.00	0.00	1.00	1.00	0.00	0.00	0.00	Spider
Aegopodium	02.07.2019	KV	KV_4	86.00	4.00	8.00	0.00	0.00	0.00	0.00	5.00	0.00	0.00	1.00	0.00	NA
Aegopodium	02.07.2019	KV	KV_5	106.00	1.00	16.00	0.00	0.00	0.00	0.00	4.00	0.00	0.00	0.00	0.00	NA
Aegopodium	01.07.2019	LK	LK_1	93.00	5.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	no_visits
Aegopodium	01.07.2019	LK	LK_2	60.00	4.00	5.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	no_visits
Aegopodium	01.07.2019	LK	LK_3	43.00	1.00	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	no_visits
