Year	Seeds	Corollalength	Corollawidth	Flowers
2001	85.00	31.30	2.80	37.00
2001	180.00	27.60	3.50	55.00
2001	110.00	30.10	3.00	75.00
2001	5.00	NA	NA	8.00
2001	38.00	32.30	3.50	29.00
2001	109.00	27.30	3.50	43.00
2001	180.00	29.60	3.60	149.00
2001	655.00	28.80	3.60	145.00
2001	81.00	31.10	3.70	64.00
2001	132.00	33.80	3.50	93.00
2001	97.00	30.50	3.30	69.00
2001	309.00	32.20	3.20	101.00
2001	173.00	31.00	3.20	83.00
2001	184.00	27.50	3.70	86.00
2001	25.00	31.30	3.40	57.00
2001	180.00	27.20	2.60	67.00
2001	17.00	24.90	3.50	23.00
2001	343.00	30.30	3.40	108.00
2001	244.00	25.50	3.40	80.00
2001	245.00	30.30	2.90	93.00
2001	136.00	25.10	3.20	35.00
2001	83.00	27.50	3.40	71.00
2001	112.00	24.50	3.40	34.00
2001	162.00	33.10	3.40	90.00
2001	63.00	27.90	3.60	35.00
2001	182.00	25.40	3.70	31.00
2001	413.00	34.10	3.00	155.00
2001	91.00	33.50	2.70	64.00
2001	344.00	28.30	2.20	141.00
2001	442.00	31.20	2.70	274.00
2001	384.00	32.90	2.90	112.00
2001	595.00	31.60	2.90	278.00
2001	627.00	33.80	2.90	132.00
2001	246.00	29.30	3.00	72.00
2001	913.00	30.60	3.20	213.00
2001	128.00	31.00	2.60	89.00
2001	306.00	31.30	3.20	73.00
2001	636.00	32.10	2.80	151.00
2001	759.00	26.80	3.00	247.00
2001	435.00	37.60	2.90	132.00
2001	529.00	30.10	3.30	207.00
2001	129.00	27.40	2.90	81.00
2001	107.00	26.70	3.20	49.00
2001	0.00	NA	NA	10.00
2001	9.00	32.60	2.90	7.00
2001	5.00	NA	NA	7.00
2001	513.00	31.00	2.80	150.00
2001	377.00	28.90	3.90	118.00
2001	241.00	28.40	3.20	93.00
2001	234.00	31.40	3.20	85.00
2001	111.00	28.10	3.30	77.00
2001	7.00	28.40	3.40	14.00
2001	312.00	25.20	3.30	102.00
2001	134.00	29.00	2.90	54.00
2001	0.00	NA	NA	9.00
2001	111.00	27.00	3.80	46.00
2001	426.00	28.40	2.90	197.00
2001	529.00	29.10	3.10	161.00
2001	408.00	32.50	3.50	193.00
2001	83.00	28.40	3.00	198.00
2001	9.00	34.50	3.50	25.00
2001	195.00	32.20	3.60	81.00
2001	83.00	31.30	3.90	22.00
2001	221.00	25.90	3.00	61.00
2001	281.00	24.40	3.20	97.00
2001	84.00	33.20	3.20	49.00
2001	167.00	NA	NA	149.00
2002	114.00	25.90	3.00	45.00
2002	0.00	30.10	3.70	6.00
2002	64.00	28.40	3.20	43.00
2002	50.00	30.10	3.10	44.00
2002	47.00	34.20	2.70	52.00
2002	33.00	27.60	3.10	20.00
2002	28.00	32.20	3.30	20.00
2002	0.00	25.40	2.50	8.00
2002	0.00	NA	NA	17.00
2002	36.00	30.70	2.80	30.00
2002	38.00	26.90	3.30	33.00
2002	187.00	27.50	3.00	153.00
2002	110.00	28.70	3.70	91.00
2002	22.00	NA	NA	35.00
2002	0.00	NA	NA	13.00
2002	18.00	26.40	3.80	13.00
2002	38.00	30.90	2.90	42.00
2002	38.00	NA	NA	24.00
2002	0.00	26.40	3.10	0.00
2002	45.00	26.00	2.80	23.00
2002	10.00	26.00	3.40	16.00
2002	7.00	25.60	2.80	45.00
2002	27.00	29.70	3.30	102.00
2002	46.00	27.20	3.20	14.00
2002	6.00	30.50	3.90	15.00
2002	31.00	25.30	4.20	69.00
2002	108.00	27.00	3.10	114.00
2002	65.00	30.30	3.30	57.00
2002	54.00	28.40	4.20	36.00
2002	140.00	27.10	3.60	169.00
2002	0.00	21.60	2.10	14.00
2002	5.00	27.70	3.30	47.00
2002	186.00	24.60	3.40	186.00
2002	197.00	NA	NA	93.00
2002	132.00	26.50	3.40	90.00
2002	28.00	29.00	3.50	43.00
2002	33.00	29.90	3.00	77.00
2002	20.00	26.60	3.00	15.00
2002	168.00	28.90	3.40	152.00
2002	6.00	24.70	3.10	38.00
2002	12.00	32.60	2.60	35.00
2002	82.00	28.20	3.20	204.00
2002	99.00	29.80	3.40	43.00
2002	3.00	26.70	3.10	17.00
