Genus_Species	Sex	brain_mass	body_mass
Accipiter_gentilis	f	7.68614E+14	1.04916E+14
Accipiter_gentilis	m	76185	6.78283E+14
Accipiter_nisus	f	3.1128E+14	2.52126E+14
Accipiter_nisus	m	2.63739E+14	1.36144E+14
Accipiter_striatus	f	57	520
Acridotheres_cristatellus	m	231	12238
Acridotheres_grandis	m	3386	17681
Acrocephalus_arundinaceus	m	87	2395
Acrocephalus_palustris	f	448	1191
Acrocephalus_scirpaceus	m	468	1256
Acrocephalus_stentoreus	f	73	1975
Acryllium_vulturinum	m	47	2000
Actinodura_ramsayi	m	1295	3625
Actitis_macularius	m	642	3449
Actophilornis_africanus	m	135	88
Aegithalos_caudatus	f	4335	7045
Aegithalos_caudatus	m	21956	7304
Aegithalos_caudatus	unknown	455	8535
Aegithalos_concinnus	f	307	423
Aegithalos_concinnus	m	38	52
Aegolius_funereus	f	4257	13733
Aethia_pusilla	m	1107	8317
Agapornis_lilianae	f	13	31075
Agapornis_lilianae	m	14	26
Agapornis_taranta	f	1807	4618
Agapornis_taranta	m	19375	4809
Agelaius_phoeniceus	unknown	177	66
Aix_galericulata	m	3589	518
Aix_galericulata	unknown	422	299
Aix_sponsa	m	39985	461345
Alauda_arvensis	f	8.47667E+14	3827
Alauda_arvensis	m	9.43556E+14	4.06089E+14
Alauda_arvensis	unknown	7	219
Alca_torda	f	50015	6703
Alca_torda	unknown	485	8332
Alcedo_atthis	f	8.00867E+14	3.92953E+14
Alcedo_atthis	m	786875	3719125
Alcedo_atthis	unknown	65	365
Alcedo_cristata	f	29	1315
Alcedo_cristata	m	37	9775
Alectoris_barbara	m	2013	18484
Alectoris_chukar	m	2232	47144
Alectoris_graeca	f	238	196
Alectoris_philbyi	m	2154	35525
Alectoris_rufa	f	1919	391225
Alisterus_amboinensis	f	41155	20285
Alisterus_amboinensis	m	43745	17678
Alisterus_chloropterus	m	398	1068
Alisterus_scapularis	f	3.83914E+14	16853
Alisterus_scapularis	m	4.65256E+14	1.81607E+14
Alle_alle	f	1.84717E+14	1.23753E+14
Alle_alle	m	1.99943E+14	1.21696E+14
Alopochen_aegyptiaca	f	764	1935
Amadina_erythrocephala	m	708	2051
Amandava_amandava	f	45	62
Amandava_amandava	m	47	595
Amazilia_tzacatl	f	1998	48
Amazona_aestiva	f	698	203
Amazona_aestiva	m	7.90829E+14	36319
Amazona_albifrons	f	5736	21922
Amazona_albifrons	m	469	129
Amazona_amazonica	f	76355	31227
Amazona_amazonica	m	8.55333E+14	3.28767E+14
Amazona_auropalliata	f	8407	501
Amazona_autumnalis	f	7375	35298
Amazona_brasiliensis	f	74585	30316
Amazona_farinosa	f	10133	50865
Amazona_festiva	m	6753	33886
Amazona_finschi	f	755	205
Amazona_finschi	m	79995	31088
Amazona_leucocephala	f	59965	27449
Amazona_leucocephala	m	621	22025
Amazona_leucocephala	unknown	682	2257
Amazona_ochrocephala	f	839475	38813
Amazona_ochrocephala	m	8654	37961
Amazona_ochrocephala	unknown	9.03273E+14	2.92991E+14
Amazona_pretrei	f	4995	2549
Amazona_pretrei	m	5646	24431
Amazona_ventralis	f	5.83233E+14	1.87457E+14
Amazona_vinacea	f	6674	3.10307E+14
Amazona_vinacea	m	8267	29329
Amazona_viridigenalis	m	6765	21065
Ammoperdix_griseogularis	f	1098	13564
Ammoperdix_griseogularis	m	1208	1538
Anas_acuta	f	49548	670
Anas_acuta	m	5241	1480
Anas_crecca	f	3183	2788
Anas_crecca	m	2.90467E+14	3.47388E+14
Anas_crecca	unknown	3.18333E+14	1.79667E+14
Anas_penelope	m	41612	7987
Anas_platyrhynchos	f	544	1200
Anas_platyrhynchos	m	5.96445E+14	1.28636E+14
Anas_rubripes	unknown	725	853
Anhinga_anhinga	f	455	610
Anhinga_anhinga	m	434	800
Anisognathus_somptuosus	f	13	429
Anodorhynchus_hyacinthinus	f	2208	1390
Anser_anser	f	11913	5000
Anser_anser	m	12062	3.96667E+14
Anthreptes_orientalis	f	5	82
Anthus_berthelotii	f	46	1575
Anthus_berthelotii	m	55	161
Anthus_pratensis	f	505	1231
Anthus_pratensis	m	49625	15235
Anthus_pratensis	unknown	535	1355
Anthus_trivialis	f	624	2235
Anthus_trivialis	m	553	1923
Aprosmictus_erythropterus	m	35682	125672
Aprosmictus_jonquillaceus	f	3274	11075
Aprosmictus_jonquillaceus	m	3553	14116
Apus_apus	f	6.57167E+14	3999
Apus_apus	m	6985	33325
Aquila_chrysaetos	unknown	186	52731
Aquila_rapax	f	1409	2625
Aquila_rapax	m	13765	2054
Ara_ararauna	f	159	625
Ara_ararauna	m	209	929
Ara_chloropterus	m	20374	1270
Ara_glaucogularis	f	139645	650
Aratinga_auricapillus	f	486	1038
Aratinga_pertinax	f	299	7729
Aratinga_solstitialis	f	4041	10305
Arborophila_torqueola	f	1629	18451
Arborophila_torqueola	m	2033	2173
Ardea_cinerea	f	79642	1451
Ardea_cinerea	m	815325	1430
Ardea_herodias	m	885	1900
Ardea_herodias	unknown	102	2055
Ardeotis_kori	f	1294	5540
Ardeotis_kori	m	1563	10000
Argusianus_argus	m	5591	1965
Asio_flammeus	f	593	3259
