"pop","patch","ASD","GAD","GSD","LBL","LBW","UBL","UBW","GW","GA"
"S11","A",2.61,5.35,5.93333333333333,23.5,22.05,19.16,20.92,5.72,14.9006
"S11","B",3.2,5.27,5.00666666666667,19.61,19.89,18.86,17.8,6.16,17.4944
"S11","B",1.88,4.14,4.38666666666667,17.49,14.79,15.77,15.88,5.72,16.4736
"S11","B",2.37,4.76,3.2,12.67,11.38,15.35,13.63,5.26,14.4913
"S11","B",1.63,3.3,3.66,19.22,17.6,19.22,18.72,5.1,13.1835
"S11","B",2.84,5.14,4.06333333333333,15.68,13.46,16.69,13.03,3.96,6.7716
"S11","B",2.58,5.59,4.69333333333333,21.92,19.79,19.87,18.55,4.95,11.70675
"S11","B",1.94,4.79,5.5,22.26,20.92,19.06,18.59,6.06,19.5435
"S11","C",3.6,6.57,5.04333333333333,18.88,19.03,17.63,17.95,6.1,17.446
"S11","C",4.2,4.64,3.36666666666667,12.09,12.21,12.2,11.45,5.05,12.49875
"S11","D",2.94,5.3,5.70666666666667,19.72,18.3,18.03,17.52,5.75,15.8125
"S11","D",2.81,4.65,3.74,14.07,10.43,12.96,10.05,6.01,14.9649
"S11","D",4.29,5.03,3.94333333333333,13.45,12.83,12.01,12,4.62,11.3421
"S11","E",5.27,5.78,4.24333333333333,19,17.09,18.61,17.74,6.04,16.7308
"S11","E",4.25,5.42,4.72,23.27,21.08,23.29,20.03,6.36,21.1788
"S11","F",3.32,3.88,4.78,12.41,12.29,15.84,15.36,5.39,10.91475
"S11","G",4.24,5.97,4.57,23.99,24.25,22.94,25.71,6.03,17.487
"S11","H",1.79,6.18,4.90333333333333,22.8,20.65,21.6,21.05,6.77,24.81205
"S11","H",2.95,5.63,5.31,23.56,21.93,21.49,21.13,6.79,23.086
"S11","H",2.61,5.09,4.77333333333333,20.62,20.04,17.85,17.75,6.4,20.192
"S11","I",2.81,5.14,4.23,17.83,17.91,15.99,17.48,5.15,12.6175
"S11","I",2.21,5.61,4.99666666666667,16.14,15.12,14.34,15.31,5.62,14.0219
"S11","J",4.57,4.68,4.51333333333333,19.09,18.64,17.72,17.72,5.11,12.95385
"S11","J",3.54,5.05,4.09666666666667,19.31,18.86,19.31,20.23,5.78,17.4556
"S11","K",2.87,4.98,4.84333333333333,21.36,21.32,19.05,18.49,5.16,13.0806
"S11","K",2.97,5.55,4.53333333333333,19.74,17.98,17.09,17.13,5.9,16.933
"S11","K",3.16,4.76,4.83666666666667,21.33,22.03,19.32,20.22,5.49,16.5249
