sex	date	hornL	hornR	season	month	day	yr	daynr	age	cohort	mass	density
M	11/09/1977	170	170	1977	9	11	1977	254	4	1973	23.7957	low
F	11/09/1977	150	150	1977	9	11	1977	254	3	1974	25.6394	low
M	18/09/1977	220	225	1977	9	18	1977	261	8	1969	33.9468	low
F	18/09/1977	170	180	1977	9	18	1977	261	1	1976	25.2737	low
M	25/09/1977	160	160	1977	9	25	1977	268	1	1976	21.5689	low
M	10/09/1978	235	240	1978	9	10	1978	253	9	1969	33.9468	low
M	10/09/1978	250	250	1978	9	10	1978	253	9	1969	36.7193	low
M	10/09/1978	200	200	1978	9	10	1978	253	4	1974	19.1909	low
M	10/09/1978	210	210	1978	9	10	1978	253	3	1975	27.4840	low
M	10/09/1978	206	206	1978	9	10	1978	253	3	1975	18.0000	low
M	10/09/1978	185	190	1978	9	10	1978	253	2	1976	25.6394	low
F	10/09/1978	160	160	1978	9	10	1978	253	2	1976	21.0319	low
M	11/09/1978	230	230	1978	9	11	1978	254	9	1969	32.5611	low
M	11/09/1978	225	220	1978	9	11	1978	254	2	1976	27.0000	low
M	11/09/1978	207	211	1978	9	11	1978	254	2	1976	20.0000	low
M	13/09/1978	200	205	1978	9	13	1978	256	4	1974	32.0993	low
F	14/09/1978	190	190	1978	9	14	1978	257	4	1974	26.0000	low
F	14/09/1978	180	180	1978	9	14	1978	257	4	1974	21.9529	low
F	14/09/1978	170	171	1978	9	14	1978	257	3	1975	19.1909	low
F	14/09/1978	171	170	1978	9	14	1978	257	3	1975	21.4924	low
F	14/09/1978	158	158	1978	9	14	1978	257	3	1975	21.0000	low
F	14/09/1978	160	160	1978	9	14	1978	257	3	1975	20.5000	low
M	14/09/1978	206	205	1978	9	14	1978	257	2	1976	22.0000	low
M	14/09/1978	135	135	1978	9	14	1978	257	1	1977	13.0000	low
M	14/09/1978	145	145	1978	9	14	1978	257	1	1977	14.0000	low
M	15/09/1978	210	210	1978	9	15	1978	258	5	1973	32.0993	low
M	15/09/1978	125	125	1978	9	15	1978	258	1	1977	13.5000	low
M	16/09/1978	212	210	1978	9	16	1978	259	3	1975	31.1759	low
M	16/09/1978	218	215	1978	9	16	1978	259	2	1976	25.0000	low
F	17/09/1978	190	190	1978	9	17	1978	260	5	1973	21.0319	low
M	17/09/1978	209	212	1978	9	17	1978	260	4	1974	26.5616	low
M	17/09/1978	222	222	1978	9	17	1978	260	4	1974	24.7174	low
F	17/09/1978	164	163	1978	9	17	1978	260	4	1974	18.2708	low
F	17/09/1978	165	165	1978	9	17	1978	260	3	1975	18.0000	low
M	21/09/1978	244	247	1978	9	21	1978	264	11	1967	29.3296	low
M	21/09/1978	225	225	1978	9	21	1978	264	9	1969	32.0993	low
M	21/09/1978	207	215	1978	9	21	1978	264	4	1974	26.0000	low
M	24/09/1978	230	230	1978	9	24	1978	267	8	1970	33.0000	low
M	24/09/1978	225	226	1978	9	24	1978	267	5	1973	29.3296	low
F	24/09/1978	190	190	1978	9	24	1978	267	5	1973	18.9857	low
M	24/09/1978	190	189	1978	9	24	1978	267	4	1974	32.0993	low
M	24/09/1978	226	225	1978	9	24	1978	267	4	1974	27.4840	low
M	24/09/1978	142	143	1978	9	24	1978	267	1	1977	15.5125	low
F	27/09/1978	172	172	1978	9	27	1978	270	4	1974	21.9529	low
M	28/09/1978	205	208	1978	9	28	1978	271	4	1974	31.1759	low
M	30/09/1978	210	210	1978	9	30	1978	273	4	1974	26.5616	low
F	01/10/1978	172	172	1978	10	1	1978	274	4	1974	21.9529	low
F	01/10/1978	175	172	1978	10	1	1978	274	3	1975	18.2708	low
M	01/11/1978	215	215	1978	11	1	1978	305	4	1974	29.0000	low
F	16/09/1979	170	180	1979	9	16	1979	259	6	1973	26.5616	low
F	16/09/1979	162	160	1979	9	16	1979	259	6	1973	23.7957	low
M	16/09/1979	217	220	1979	9	16	1979	259	4	1975	31.0000	low
M	16/09/1979	195	195	1979	9	16	1979	259	3	1976	24.7174	low
M	16/09/1979	193	195	1979	9	16	1979	259	3	1976	26.5616	low
M	16/09/1979	198	201	1979	9	16	1979	259	3	1976	32.0993	low
M	16/09/1979	210	215	1979	9	16	1979	259	2	1977	28.4067	low
M	16/09/1979	187	188	1979	9	16	1979	259	2	1977	25.0000	low
M	16/09/1979	150	150	1979	9	16	1979	259	1	1978	18.2708	low
M	16/09/1979	163	162	1979	9	16	1979	259	1	1978	24.7174	low
M	17/09/1979	230	233	1979	9	17	1979	260	7	1972	27.4840	low
F	17/09/1979	180	180	1979	9	17	1979	260	2	1977	19.1909	low
M	19/09/1979	200	195	1979	9	19	1979	262	2	1977	21.0319	low
M	20/09/1979	240	245	1979	9	20	1979	263	10	1969	35.0000	low
F	20/09/1979	170	171	1979	9	20	1979	263	3	1976	24.0000	low
M	20/09/1979	218	215	1979	9	20	1979	263	3	1976	33.0230	low
M	20/09/1979	200	198	1979	9	20	1979	263	2	1977	24.7174	low
F	20/09/1979	109	109	1979	9	20	1979	263	1	1978	13.6755	low
F	20/09/1979	148	148	1979	9	20	1979	263	1	1978	20.0917	low
M	20/09/1979	156	158	1979	9	20	1979	263	1	1978	16.4316	low
F	20/09/1979	112	111	1979	9	20	1979	263	1	1978	15.5125	low
M	23/09/1979	165	165	1979	9	23	1979	266	1	1978	17.3510	low
F	26/09/1979	185	186	1979	9	26	1979	269	6	1973	24.7174	low
F	26/09/1979	185	184	1979	9	26	1979	269	6	1973	22.8742	low
F	26/09/1979	200	201	1979	9	26	1979	269	4	1975	21.0319	low
F	26/09/1979	159	163	1979	9	26	1979	269	4	1975	22.8742	low
M	27/09/1979	219	214	1979	9	27	1979	270	6	1973	28.4067	low
F	27/09/1979	110	110	1979	9	27	1979	270	1	1978	14.5938	low
M	27/09/1979	178	178	1979	9	27	1979	270	1	1978	20.1113	low
F	29/09/1979	178	175	1979	9	29	1979	272	4	1975	30.4853	low
M	29/09/1979	176	181	1979	9	29	1979	272	1	1978	19.1909	low
M	30/09/1979	187	184	1979	9	30	1979	273	6	1973	28.0000	low
F	30/09/1979	174	171	1979	9	30	1979	273	3	1976	21.0319	low
F	04/10/1979	190	190	1979	10	4	1979	277	3	1976	26.0000	low
F	04/10/1979	182	177	1979	10	4	1979	277	3	1976	21.0000	low
M	04/10/1979	164	160	1979	10	4	1979	277	2	1977	19.0000	low
F	04/10/1979	127	125	1979	10	4	1979	277	1	1978	24.0000	low
M	07/10/1979	205	207	1979	10	7	1979	280	4	1975	28.4067	low
F	30/10/1979	168	170	1979	10	30	1979	303	4	1975	21.0319	low
M	14/09/1980	210	210	1980	9	14	1980	257	6	1974	33.9468	low
F	14/09/1980	180	170	1980	9	14	1980	257	5	1975	22.0000	low
F	14/09/1980	210	220	1980	9	14	1980	257	5	1975	26.0000	low
M	14/09/1980	221	221	1980	9	14	1980	257	5	1975	27.4840	low
M	14/09/1980	201	201	1980	9	14	1980	257	5	1975	25.6394	low
M	14/09/1980	235	232	1980	9	14	1980	257	4	1976	35.7949	low
M	14/09/1980	175	170	1980	9	14	1980	257	3	1977	21.0319	low
M	14/09/1980	110	110	1980	9	14	1980	257	1	1979	15.0000	low
M	14/09/1980	150	150	1980	9	14	1980	257	1	1979	22.0000	low
M	17/09/1980	240	235	1980	9	17	1980	260	4	1976	40.0000	low
M	18/09/1980	215	210	1980	9	18	1980	261	6	1974	26.5616	low
M	18/09/1980	215	215	1980	9	18	1980	261	4	1976	27.0000	low
M	18/09/1980	206	208	1980	9	18	1980	261	4	1976	25.0000	low
F	18/09/1980	185	184	1980	9	18	1980	261	4	1976	30.2526	low
M	18/09/1980	190	190	1980	9	18	1980	261	3	1977	24.0000	low
F	18/09/1980	200	220	1980	9	18	1980	261	3	1977	28.5000	low
M	21/09/1980	215	210	1980	9	21	1980	264	3	1977	29.0000	low
M	21/09/1980	193	195	1980	9	21	1980	264	2	1978	23.7957	low
M	25/09/1980	245	240	1980	9	25	1980	268	6	1974	33.9468	low
M	25/09/1980	205	205	1980	9	25	1980	268	4	1976	27.4840	low
M	25/09/1980	230	225	1980	9	25	1980	268	4	1976	32.0000	low
M	25/09/1980	175	175	1980	9	25	1980	268	3	1977	22.0000	low
M	25/09/1980	180	180	1980	9	25	1980	268	2	1978	24.0000	low
F	25/09/1980	164	160	1980	9	25	1980	268	2	1978	20.0917	low
F	28/09/1980	183	179	1980	9	28	1980	271	4	1976	16.4316	low
M	02/10/1980	216	216	1980	10	2	1980	275	3	1977	22.8742	low
F	09/10/1980	32	34	1980	10	9	1980	282	0	1980	12.0275	low
M	16/10/1980	205	205	1980	10	16	1980	289	13	1967	32.7267	low
F	16/10/1980	180	180	1980	10	16	1980	289	5	1975	19.1909	low
F	16/10/1980	180	180	1980	10	16	1980	289	5	1975	21.0000	low
F	03/11/1980	190	195	1980	11	3	1980	307	3	1977	21.0319	low
F	03/11/1980	190	195	1980	11	3	1980	307	3	1977	21.0319	low
F	06/11/1980	105	110	1980	11	6	1980	310	1	1979	16.0000	low
F	16/11/1980	178	185	1980	11	16	1980	320	3	1977	17.8816	low
F	16/11/1980	65	60	1980	11	16	1980	320	0	1980	10.2126	low
M	19/11/1980	230	230	1980	11	19	1980	323	6	1974	28.0000	low
M	13/01/1981	80	85	1980	1	13	1981	378	0	1980	9.8507	low
F	08/10/1981	170	165	1981	10	8	1981	281	5	1976	18.0000	low
M	09/10/1981	160	150	1981	10	9	1981	282	1	1980	16.0000	low
F	13/10/1981	143	140	1981	10	13	1981	286	4	1977	15.0000	low
M	12/09/1982	190	190	1982	9	12	1982	255	5	1977	22.8742	low
M	12/09/1982	191	191	1982	9	12	1982	255	3	1979	21.0319	low
M	12/09/1982	207	210	1982	9	12	1982	255	3	1979	28.8681	low
M	12/09/1982	199	193	1982	9	12	1982	255	3	1979	25.0000	low
M	12/09/1982	211	217	1982	9	12	1982	255	3	1979	27.0000	low
M	12/09/1982	191	194	1982	9	12	1982	255	3	1979	21.0319	low
M	12/09/1982	205	210	1982	9	12	1982	255	3	1979	23.7957	low
M	12/09/1982	220	217	1982	9	12	1982	255	3	1979	29.3296	low
M	12/09/1982	164	164	1982	9	12	1982	255	2	1980	23.0000	low
F	12/09/1982	136	137	1982	9	12	1982	255	2	1980	20.1113	low
M	12/09/1982	211	211	1982	9	12	1982	255	2	1980	25.6394	low
M	12/09/1982	153	156	1982	9	12	1982	255	1	1981	19.1909	low
M	12/09/1982	172	172	1982	9	12	1982	255	1	1981	22.8742	low
F	12/09/1982	121	118	1982	9	12	1982	255	1	1981	15.0000	low
F	12/09/1982	136	141	1982	9	12	1982	255	1	1981	21.9529	low
F	13/09/1982	123	124	1982	9	13	1982	256	1	1981	19.0000	low
M	15/09/1982	212	202	1982	9	15	1982	258	2	1980	28.0000	low
M	15/09/1982	150	151	1982	9	15	1982	258	1	1981	21.0000	low
F	16/09/1982	205	207	1982	9	16	1982	259	6	1976	28.0000	low
M	16/09/1982	231	224	1982	9	16	1982	259	2	1980	29.0000	low
M	16/09/1982	176	178	1982	9	16	1982	259	1	1981	20.0000	low
M	18/09/1982	204	210	1982	9	18	1982	261	3	1979	30.2526	low
M	19/09/1982	221	225	1982	9	19	1982	262	6	1976	24.7174	low
M	19/09/1982	190	194	1982	9	19	1982	262	2	1980	20.1113	low
M	19/09/1982	173	173	1982	9	19	1982	262	1	1981	22.8742	low
F	22/09/1982	217	210	1982	9	22	1982	265	7	1975	30.2526	low
M	26/09/1982	162	163	1982	9	26	1982	269	1	1981	17.3510	low
M	29/09/1982	203	201	1982	9	29	1982	272	4	1978	32.0993	low
M	29/09/1982	202	209	1982	9	29	1982	272	2	1980	25.6394	low
F	30/09/1982	212	213	1982	9	30	1982	273	9	1973	28.0000	low
F	02/10/1982	165	170	1982	10	2	1982	275	1	1981	22.8742	low
F	03/10/1982	174	175	1982	10	3	1982	276	3	1979	14.9466	low
F	03/10/1982	140	140	1982	10	3	1982	276	1	1981	18.0000	low
F	03/10/1982	99	100	1982	10	3	1982	276	1	1981	17.0000	low
M	07/10/1982	221	222	1982	10	7	1982	280	6	1976	29.3296	low
M	07/10/1982	188	185	1982	10	7	1982	280	1	1981	18.2708	low
M	09/10/1982	123	121	1982	10	9	1982	282	1	1981	15.0000	low
M	30/10/1982	229	231	1982	10	30	1982	303	6	1976	32.0000	low
F	31/10/1982	160	140	1982	10	31	1982	304	2	1980	19.1909	low
M	31/10/1982	165	160	1982	10	31	1982	304	1	1981	18.2708	low
M	04/11/1982	170	172	1982	11	4	1982	308	1	1981	22.0000	low
