"pop","mother","crossID","blocktray","timetosowing","MCseed","nseed","germ2"
"LM","LM1","LM1sld","T3_1",61,-2.33556485355681,2,0
"LM","LM1","LM1shd","T3_1",64,-0.135564853554773,2,0
"LM","LM1","LM1xld","T1_1",64,2.66443514644294,2,0
"LM","LM1","LM1xhd","T2_1",64,4.7644351464435,2,0
"LM","LM2","LM2sld","T4_1",37,2.56443514644351,2,0
"LM","LM2","LM2shd","T7_1",65,-0.435564853556488,2,0
"LM","LM2","LM2xld","T9_1",37,1.36443514644351,2,0
"LM","LM2","LM2xhd","T7_1",64,0.764435146443515,2,0
"LM","LM3","LM3sld","T8_1",56,0.264435146443514,2,0
"LM","LM3","LM3shd","T5_1",46,-0.135564853556491,2,0
"LM","LM3","LM3xld","T7_1",34,3.26443514644351,2,0
"LM","LM3","LM3xhd","T6_1",31,2.26443514644351,2,0
"LM","LM4","LM4sld","T2_1",24,-0.0355648535564898,2,0
"LM","LM4","LM4shd","T2_1",14,-1.53556485355649,2,0
"LM","LM4","LM4xld","T9_1",43,-2.13556485355649,2,0
"LM","LM4","LM4xhd","T1_1",32,0.0644351464435116,2,0
"LM","LM5","LM5sld","T4_1",68,2.46443514644351,2,0
"LM","LM5","LM5shd","T6_1",60,0.96443514644351,2,0
"LM","LM5","LM5xld","T6_1",71,-1.53556485355649,2,0
"LM","LM5","LM5xhd","T6_1",77,3.96443514644351,2,0
"LM","LM6","LM6sld","T8_1",34,-4.23556485355649,2,0
"LM","LM6","LM6shd","T6_1",14,-1.83556485355649,2,0
"LM","LM6","LM6xld","T4_1",63,-1.23556485355649,2,0
"LM","LM6","LM6xhd","T7_1",19,-2.33556485355649,2,0
"LM","LM7","LM7sld","T3_1",44,-3.23556485355649,2,0
"LM","LM7","LM7shd","T6_1",47,-0.335564853556487,2,0
"LM","LM7","LM7xld","T9_1",23,-2.23556485355649,2,0
"LM","LM7","LM7xhd","T7_1",74,-1.43556485355649,2,0
"LM","LM8","LM8sld","T5_1",53,4.36443514644351,2,0
"LM","LM8","LM8shd","T3_1",40,1.26443514644351,2,0
"LM","LM8","LM8xld","T8_1",35,-0.235564853556486,2,0
