table;pop;sp;treat;plant;GAD;ASD;MF;GSDr;GSDc;GSDl;GSD;GW;GHr;GHl;GA;UBW;UBL;LBW;LBL;UB;LB
2;CO;S;D;CO.W.1.00;2,47;1,12;9;3,58;5,19;2,66;3,81;4,75;2,19;2,03;3,17;19,29;17,8;20,79;20,63;18,53;20,71
2;CO;S;D;CO.W.1.00;2,67;0;8;2,9;2,91;3,97;3,26;5,66;2;1,83;3,29;19,55;18,46;20,17;20,66;19;20,41
2;CO;S;W;CO.W.1.00;2,04;2,01;9;4,41;5,97;3,39;4,59;5,44;2,12;1,81;3,27;19,8;17,29;20,83;19,55;18,50;20,18
2;CO;S;W;CO.W.1.00;3,09;0,62;NA;3,08;4,04;4,82;3,98;5,55;1,82;2,23;3,35;19,77;18,9;22,08;21,46;19,33;21,77
4;CO;S;D;CO.W.1.01;2,27;0;10;3,85;5,11;3,56;4,17;4,27;1,4;1,59;2,53;15,44;16,32;17,57;17,24;15,87;17,4
4;CO;S;D;CO.W.1.01;2,72;0,99;10;5,44;5,3;4,1;4,95;4,86;2,2;1,63;3,05;21,37;19,81;23,26;21,87;20,58;22,55
4;CO;S;W;CO.W.1.01;2,57;0;10;4,52;3,47;3,09;3,69;6,52;1,99;1,78;3,51;21,8;19,69;22,97;22,93;20,72;22,95
4;CO;S;W;CO.W.1.01;3,1;0;NA;3,05;2,96;2,62;2,88;5,26;1,8;2,03;3,17;19,07;17,66;20,26;21,32;18,35;20,78
1;CO;S;W;CO.W.1.02;3,26;0,68;10;4,1;5,24;2,19;3,84;5,19;2,06;1,99;3,24;22,29;20,21;22,59;23,94;21,22;23,26
1;CO;S;W;CO.W.1.02;3,47;1,7;10;4,86;6,3;5,56;5,57;5,93;2,22;2,33;3,67;22,51;20,03;23,23;22,68;21,23;22,95
1;CO;S;D;CO.W.1.02;2,71;0;10;2,19;3,69;3,3;3,06;4,86;1,75;1,69;2,89;18,72;16,41;19,86;18,8;17,53;19,32
1;CO;S;D;CO.W.1.02;2,8;0;NA;2,07;2,86;2,72;2,55;4,6;1,78;1,5;2,75;16,71;14,8;17,1;15,19;15,73;16,12
3;CO;S;W;CO.W.1.03;2,55;0;9;1,97;4,14;2,27;2,79;4,65;1,8;1,75;2,87;15,26;14,92;16,51;16,2;15,09;16,35
3;CO;S;W;CO.W.1.03;3,27;0;9;3,17;4,53;3,02;3,57;5,56;2,25;2,21;3,52;16,7;16,59;18,11;18,87;16,64;18,49
3;CO;S;D;CO.W.1.03;2,33;0;10;3,08;3,28;2,16;2,84;4,33;1,93;1,68;2,80;13,29;12,79;14,24;14,31;13,04;14,27
3;CO;S;D;CO.W.1.03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;CO;S;D;CO.W.1.04;2,31;0,56;9;2,92;4,24;2,61;3,26;4,99;1,43;1,68;2,79;17,3;16,23;18,55;18,21;16,76;18,38
4;CO;S;D;CO.W.1.04;2,74;0;9;4,24;6,04;4,06;4,78;5,2;2,2;2;3,3;20,14;18,67;20,3;19,72;19,39;20,01
4;CO;S;W;CO.W.1.04;3,17;2,95;9;3,17;7,54;5,19;5,30;6,09;2;1,65;3,33;22,19;16,6;22,47;19,96;19,19;21,18
4;CO;S;W;CO.W.1.04;2,79;0,9;NA;4,75;2,82;2,55;3,37;5,59;1,65;2,11;3,24;19,89;18,26;23,43;20,58;19,06;21,96
3;CO;S;W;CO.W.1.05;2,85;1,85;10;4,13;5,96;3,84;4,64;6,72;1,77;1,92;3,52;21,85;21,04;24,24;25,3;21,44;24,76
3;CO;S;W;CO.W.1.05;3,23;1,17;10;2,42;3,71;4,24;3,46;8,13;1,94;2,38;4,19;24,23;22,98;25,18;25,57;23,6;25,37
3;CO;S;D;CO.W.1.05;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;CO;S;D;CO.W.1.05;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;CO;S;W;CO.W.1.06;2,63;0,24;10;6,61;7,53;3,31;5,82;6,51;2,22;1,7;3,57;25,45;26,28;25,65;29,74;25,86;27,62
3;CO;S;W;CO.W.1.06;2,35;1,9;8;5,08;8,78;5,75;6,54;7;2,26;2,22;3,96;27,25;25,1;29,69;28,8;26,15;29,24
3;CO;S;D;CO.W.1.06;1,97;0;10;2,22;3,26;2,76;2,75;6,62;1,8;1,5;3,30;17,49;16,8;19,25;19,01;17,14;19,13
3;CO;S;D;CO.W.1.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;CO;S;D;CO.W.1.07;2,58;0;9;3,07;3,77;4,46;3,77;5,96;1,76;1,91;3,31;19,01;18,65;21,16;19,9;18,83;20,52
2;CO;S;D;CO.W.1.07;3,64;0;9;3,34;6,03;2,8;4,06;5,02;2,15;2,05;3,25;18,68;18,53;20,46;22;18,6;21,22
2;CO;S;W;CO.W.1.07;3,54;0,33;9;4,33;5,66;4,4;4,80;5,99;2,08;2,05;3,52;22,47;19,31;23,01;21,96;20,83;22,48
2;CO;S;W;CO.W.1.07;2,5;0;NA;3,49;0,84;3,41;2,58;4,78;1,57;1,89;2,88;17,14;14,85;18,43;17,72;15,95;18,07
4;CO;S;D;CO.W.1.08;2,73;0;10;5,34;6,45;4,13;5,31;5,56;1,63;1,54;2,97;19,72;18,38;21,9;21,8;19,04;21,85
4;CO;S;D;CO.W.1.08;2,45;0;9;3,88;4,86;2,75;3,83;4,47;1,56;1,38;2,56;16,61;15,13;18,65;18,93;15,85;18,79
4;CO;S;W;CO.W.1.08;2,73;0;10;2,92;2,45;1,98;2,45;4,9;1,72;1,74;2,91;18,35;17,38;19,24;19,28;17,86;19,26
4;CO;S;W;CO.W.1.08;3,29;0;NA;5,33;5;5,78;5,37;6,18;1,93;1,85;3,42;19,91;17,36;21,48;20,97;18,59;21,22
1;CO;S;W;CO.W.1.09;3,95;0;10;3,95;5,23;4,36;4,51;5,57;2,08;2,06;3,4;21,54;18,47;22,59;21,51;19,95;22,04
1;CO;S;W;CO.W.1.09;3,26;0;10;3,74;4,14;4,11;4;5,12;1,93;1,91;3,14;20,44;18,86;21,76;19,51;19,63;20,6
1;CO;S;D;CO.W.1.09;2,56;0;10;2,79;3,6;2,08;2,82;4,33;1,66;1,5;2,62;16,22;14,14;16,45;16,62;15,14;16,53
1;CO;S;D;CO.W.1.09;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;CO;S;W;CO.W.1.10;3,46;0,77;9;5,05;6,66;5,14;5,62;5,45;2,26;2,14;3,46;20,84;19,43;23,08;21,83;20,12;22,45
3;CO;S;W;CO.W.1.10;3,04;0,98;8;4,99;5,55;4,37;4,97;5,1;1,97;1,9;3,14;20,6;18,99;21,46;21,42;19,78;21,44
3;CO;S;D;CO.W.1.10;2,25;0;9;2,57;3,09;3,2;2,95;4,5;1,41;1,33;2,48;14,15;14,61;14,52;15,22;14,38;14,87
3;CO;S;D;CO.W.1.10;2,73;0;NA;2,9;3,72;2,9;3,17;4,65;2;1,7;2,93;15,17;14,64;15,16;16,07;14,90;15,61
1;CO;S;W;CO.W.1.11;3,04;1,21;9;3,68;6,43;4,78;4,96;5,58;2,23;1,94;3,41;22,75;22,38;25,04;25,02;22,56;25,03
1;CO;S;W;CO.W.1.11;3;0;9;2,25;3,68;2,41;2,78;5,15;1,94;1,91;3,15;19,22;18,78;20,08;20,03;19;20,05
1;CO;S;D;CO.W.1.11;1,5;0;9;3,01;3,08;2,35;2,81;3,53;1,18;0,84;1,89;10,49;10,81;11,32;11,57;10,65;11,44
1;CO;S;D;CO.W.1.11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;CO;S;W;CO.W.1.12;3,61;1,38;10;3,36;3,78;5,51;4,22;5,6;2,1;2,17;3,46;21,51;20,34;21,55;20,28;20,92;20,91
1;CO;S;W;CO.W.1.12;2,91;0;10;4,05;3,95;3,16;3,72;5,52;1,98;2,07;3,34;18,92;17,79;19,33;19,92;18,35;19,62
1;CO;S;D;CO.W.1.12;2,52;0,3;9;5,2;5,11;4,9;5,07;5,52;1,79;2,35;3,38;19,4;18,96;21,2;21,08;19,18;21,14
1;CO;S;D;CO.W.1.12;2,36;0;NA;3,13;3,24;4,28;3,55;4,47;1,73;1,72;2,78;16,82;15,01;16,14;16,81;15,89;16,47
1;CO;S;W;CO.W.1.13;3,04;0;9;3,96;6,25;4,5;4,9;6,03;2,13;2,62;3,78;23,4;21,51;24,38;24,28;22,44;24,33
1;CO;S;W;CO.W.1.13;3,51;0;9;2,94;4,5;2,13;3,19;5,3;1,79;1,93;3,14;18,73;17,99;18,3;18,57;18,36;18,43
1;CO;S;D;CO.W.1.13;2,05;0;9;3,89;2,71;2,42;3,01;5,24;1,79;1,98;3,14;16,55;14,99;18,14;17,8;15,75;17,97
1;CO;S;D;CO.W.1.13;3,03;0;NA;3,39;4,54;3,43;3,79;4,01;1,89;1,41;2,57;14,25;14,02;15,72;16,14;14,13;15,93
4;CO;S;D;CO.W.1.14;2,46;0;8;3,06;3,92;2,7;3,23;4,9;1,77;1,92;3,01;16,98;15,98;18,12;18,17;16,47;18,14
4;CO;S;D;CO.W.1.14;3,13;0;9;2,8;3,19;3,61;3,2;4,99;1,82;2,16;3,15;16,73;15,42;17,65;16,3;16,06;16,96
4;CO;S;W;CO.W.1.14;2,99;0,81;9;4,48;7,48;4,36;5,44;6,15;1,99;1,78;3,40;19,59;16,55;20,68;19,46;18,01;20,06
4;CO;S;W;CO.W.1.14;2,56;1,4;NA;5;5,59;4,1;4,90;5;2,08;2,1;3,23;19,87;19,2;21,2;21,76;19,53;21,48
2;CO;S;D;CO.W.1.15;2,77;0;8;2,62;3,31;3,58;3,17;4,5;2,16;2,19;3,13;19,16;17,81;20,36;19,72;18,47;20,04
2;CO;S;D;CO.W.1.15;1,81;0;8;2,36;2,94;2,22;2,51;3,02;1,06;1,18;1,84;10,73;11,13;10,54;11,92;10,93;11,21
2;CO;S;W;CO.W.1.15;3,01;0,95;9;4,38;4,36;5,53;4,76;5,36;1,52;1,74;2,96;23,05;20,84;24,83;23;21,92;23,90
2;CO;S;W;CO.W.1.15;3,08;0;NA;3,02;3,76;4,3;3,69;4,49;1,99;1,98;2,99;15,97;15,44;18,3;19,02;15,70;18,66
3;CO;S;W;CO.W.1.16;3,18;0;10;2,02;4,31;4,74;3,69;5,02;1,95;2,14;3,2;19,11;17,94;20,13;20,05;18,52;20,09
3;CO;S;W;CO.W.1.16;3;0,39;9;4,91;5,76;5,32;5,33;4,55;1,96;1,64;2,86;16,59;16,72;18,49;20,16;16,65;19,31
3;CO;S;D;CO.W.1.16;2,23;0;9;3,45;3,13;1,54;2,71;5,03;1,86;1,86;3,06;16,88;16,49;18,33;18,69;16,68;18,51
3;CO;S;D;CO.W.1.16;2,51;0;NA;2,16;2,73;3;2,63;4,97;1,87;1,89;3,06;15,32;14,9;15,85;16,59;15,11;16,22
3;CO;S;W;CO.W.1.17;3,1;0;9;4,11;5,21;5,02;4,78;5,53;1,86;2,24;3,37;19,72;19,27;21,22;22,86;19,49;22,02
3;CO;S;W;CO.W.1.17;2,85;1,82;8;3,46;5,55;3,65;4,22;5,92;2,46;1,73;3,52;21,62;20,7;23,99;22,15;21,15;23,05
3;CO;S;D;CO.W.1.17;2,37;0;9;4,24;5,57;3,47;4,43;5,54;1,71;1,73;3,09;16,28;15,76;18,76;17,78;16,02;18,26
3;CO;S;D;CO.W.1.17;2,5;0;NA;2,73;3,93;2,94;3,20;4,58;1,38;1,66;2,64;14,79;13,53;16,92;16,89;14,15;16,90
4;CO;S;D;CO.W.1.18;3,12;0,41;10;2,81;2,18;1,66;2,22;4,96;1,84;2,08;3,12;15,78;14,85;16,59;17,48;15,31;17,03
4;CO;S;D;CO.W.1.18;1,92;0;10;2,5;3,71;3,05;3,09;4,7;1,74;1,59;2,8;13,68;12,89;14,34;15,19;13,28;14,76
4;CO;S;W;CO.W.1.18;2,78;1,29;10;4,63;5,6;3,4;4,54;4,7;1,79;1,76;2,89;18,78;18,16;20,6;20,93;18,47;20,76
4;CO;S;W;CO.W.1.18;2,7;2,3;NA;4,76;6,81;4,2;5,26;5,83;2,17;2,2;3,57;21,92;19;23,07;22,26;20,41;22,66
2;CO;S;D;CO.W.1.19;3,23;0;9;2,19;3,86;3,27;3,11;5,72;1,98;2,19;3,45;22,12;21,09;23,14;22,94;21,6;23,04
2;CO;S;D;CO.W.1.19;3,06;1,36;9;4,77;5,27;3,99;4,68;5,31;2,21;2,44;3,51;21,22;18,09;22,6;22,04;19,59;22,32
2;CO;S;W;CO.W.1.19;3,46;0;10;3,35;4,66;3,86;3,96;4,9;2,19;1,74;3,10;19,57;18,05;20,69;20,25;18,79;20,47
2;CO;S;W;CO.W.1.19;3,03;1,14;NA;3,38;5,24;5,59;4,74;5,6;1,73;1,89;3,18;20,71;17,89;20,32;19,17;19,25;19,74
1;CO;S;W;CO.W.1.20;3,43;0;10;3,61;5,64;3,6;4,28;6,16;2,17;2,5;3,79;21,16;19,6;22,17;22,31;20,37;22,24
1;CO;S;W;CO.W.1.20;3,07;1,97;10;3,98;6,79;4,25;5,01;5,59;2;2,2;3,43;22,96;21,12;24,44;24,4;22,02;24,42
1;CO;S;D;CO.W.1.20;3,16;0;9;3;3,75;3,45;3,40;5,08;1,85;1,68;2,99;18,02;17,61;19,42;18,7;17,81;19,06
1;CO;S;D;CO.W.1.20;2,56;0;NA;3,37;3,03;2,36;2,92;4,88;1,93;1,84;3,03;16,27;16,61;16,91;18,23;16,44;17,56
2;CO;S;D;CO.W.1.21;3,08;0;9;3,47;3,21;5,21;3,96;4,96;1,89;1,9;3,07;18,52;18,18;21,17;21,36;18,35;21,26
2;CO;S;D;CO.W.1.21;3,05;0;9;3,14;5,13;2,99;3,75;5,8;2,17;1,9;3,44;18,97;17,86;18,93;19,65;18,41;19,29
2;CO;S;W;CO.W.1.21;2,51;0;10;5,11;5,59;3,44;4,71;5,63;1,89;2,17;3,38;21,53;20,09;23,21;22,04;20,80;22,62
2;CO;S;W;CO.W.1.21;3,16;0,28;NA;6,49;4,6;4,18;5,09;4,96;1,49;1,58;2,76;18,91;17,42;20,16;18,83;18,15;19,48
1;CO;S;W;CO.W.1.22;3,41;0;10;3,38;4,96;4,72;4,35;6,27;2,34;2,28;3,81;22,06;20,94;22,18;22,09;21,49;22,13
1;CO;S;W;CO.W.1.22;2,94;0;10;3,1;4,46;2,44;3,33;5,13;1,69;1,82;3;19,97;18,93;21,26;20,94;19,44;21,1
1;CO;S;D;CO.W.1.22;1,71;0;10;2,62;2,69;3,79;3,03;4,93;1,51;1,39;2,67;15,07;14,42;16,79;16,6;14,74;16,69
1;CO;S;D;CO.W.1.22;2,47;0,3;NA;4,22;4,05;5,33;4,53;4,44;1,82;1,94;2,89;14,75;13,24;15,75;15,72;13,97;15,73
4;CO;S;D;CO.W.1.23;3,37;0,7;9;5,29;6,8;4,85;5,65;5,81;2,05;2,35;3,58;20,97;20,39;20,79;21,97;20,68;21,37
4;CO;S;D;CO.W.1.23;2,99;0,71;9;4,49;4,97;4,11;4,52;6,11;1,92;2,13;3,52;20,82;19,68;22,86;22,82;20,24;22,84
4;CO;S;W;CO.W.1.23;2,09;3,83;9;4,8;7,02;5,73;5,85;5,35;1,9;1,96;3,21;22,63;19,75;23,54;23,41;21,14;23,47
4;CO;S;W;CO.W.1.23;2,31;0;NA;3,86;3,37;3,16;3,46;4,83;1,92;1,96;3,06;21,72;18,68;21,74;21,57;20,14;21,65
2;CO;S;D;CO.W.1.24;3,03;0;10;4,42;3,56;2,4;3,46;4,59;1,99;1,49;2,83;16,67;16,72;16,81;16,25;16,69;16,53
2;CO;S;D;CO.W.1.24;2,53;0;10;2,4;2,66;1,69;2,25;4,6;1,73;1,5;2,73;14,09;13,86;14,11;15,67;13,97;14,87
2;CO;S;W;CO.W.1.24;3,21;1,79;10;4,75;8,65;4,6;6,00;5,87;1,89;1,96;3,36;24,98;21,71;25,69;23,45;23,29;24,54
2;CO;S;W;CO.W.1.24;3,07;0;NA;4,53;4,17;4,88;4,53;6;2,43;1,56;3,46;23,59;20,48;24,12;24,46;21,98;24,29
2;CO;S;D;CO.W.1.25;2,24;0;9;2,64;3,88;2,51;3,01;4,33;1,56;1,42;2,54;14,03;12,84;14,8;14,91;13,42;14,85
2;CO;S;D;CO.W.1.25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;CO;S;W;CO.W.1.25;2,96;0;9;4,73;4,65;3,43;4,27;4,65;2,06;1,72;2,96;21,29;19,05;22,72;20,36;20,14;21,51
2;CO;S;W;CO.W.1.25;2,56;0,3;NA;3,38;4,32;3,32;3,67;5,48;1,73;1,82;3,12;19,15;17,58;20,67;19,73;18,35;20,19
3;CO;S;W;CO.W.1.26;3,36;0;8;3,13;2,88;3,86;3,29;5,94;1,84;2,3;3,51;18,77;18,11;19,61;19,89;18,44;19,75
3;CO;S;W;CO.W.1.26;2,71;0;8;2,16;2,99;3,83;2,99;5,6;1,9;2,07;3,33;19,04;19,61;21,33;20,7;19,32;21,01
3;CO;S;D;CO.W.1.26;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;CO;S;D;CO.W.1.26;2,79;1,19;NA;4,51;6,24;4,72;5,16;4,62;1,7;1,74;2,82;18,62;16,15;19,6;18,95;17,34;19,27
3;PM;L;W;PM.W.1.00;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;PM;L;W;PM.W.1.00;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;PM;L;D;PM.W.1.00;NA;NA;10;4,5;4,76;3,9;4,39;5,17;2,37;2,59;3,58;23,11;20,88;23,15;23,34;21,97;23,24
3;PM;L;D;PM.W.1.00;5,35;3,7;NA;2,53;3,19;2,72;2,81;4,66;2,06;2,21;3,15;16,59;17,76;18,62;20,08;17,17;19,34
3;PM;L;W;PM.W.1.01;5,27;2,3;10;4,17;6,06;5,05;5,09;5,56;2,38;2,42;3,65;19,78;20,42;20,86;22,94;20,1;21,88
3;PM;L;W;PM.W.1.01;4,68;1,6;9;3,38;4,06;3,57;3,67;5,49;2,57;2,21;3,62;16,21;16,37;17,33;19,13;16,29;18,21
3;PM;L;D;PM.W.1.01;5,59;3,76;10;3,84;3,14;3,74;3,57;6,07;2,62;2,16;3,81;17,45;16,05;19,02;17,62;16,74;18,31
3;PM;L;D;PM.W.1.01;4,13;2,24;NA;2,87;3,86;3,95;3,56;5,68;2,19;2,89;3,80;16,35;16,92;16,73;18,33;16,63;17,51
3;PM;L;W;PM.W.1.02;7;2,2;10;5,84;7,07;5,38;6,1;8,41;2,61;3,41;5,03;27,86;22,55;26,9;26,91;25,06;26,9
3;PM;L;W;PM.W.1.02;6,3;2,26;10;5,51;5,57;5,36;5,48;7,49;2,84;2,84;4,61;23,75;22,49;25,05;26,42;23,11;25,73
3;PM;L;D;PM.W.1.02;5,1;2,73;10;3,31;3,48;3,28;3,36;5,36;1,79;2;3,19;14,55;13,34;14,3;13,79;13,93;14,04
3;PM;L;D;PM.W.1.02;4,99;2,93;NA;4,38;3,99;3,86;4,08;5,47;2,68;2,45;3,75;15,54;14,65;15,03;15,61;15,09;15,32
2;PM;L;D;PM.W.1.03;5,22;2,95;10;3,68;5,58;4,29;4,52;6,29;2,54;2,48;3,97;20,22;18,71;19,52;18,57;19,45;19,04
2;PM;L;D;PM.W.1.03;5,2;3,1;10;4,59;3,81;4,63;4,34;5,28;2;1,99;3,25;17,89;16,15;18,39;17,5;17;17,94
2;PM;L;W;PM.W.1.03;6,82;0,92;10;6,06;6,99;5,8;6,28;5,46;2,32;2,33;3,56;25,08;23,74;25,65;24,64;24,40;25,14
2;PM;L;W;PM.W.1.03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;PM;L;D;PM.W.1.04;5,58;4,36;10;2,77;4,85;3,67;3,76;5,84;1,84;2,42;3,53;15,47;14,65;15,2;15,72;15,05;15,46
2;PM;L;D;PM.W.1.04;5,87;5,18;10;3,21;3,93;2,78;3,31;5,89;2,32;2,22;3,66;16,83;15,54;16,28;16,21;16,17;16,24
2;PM;L;W;PM.W.1.04;6,71;4,22;10;5,37;7,03;5,52;5,97;8,72;3,71;3,83;5,73;32;28,68;30,94;30,81;30,29;30,87
2;PM;L;W;PM.W.1.04;7,29;3,75;NA;4,35;5,18;4,39;4,64;7,74;3,84;3,41;5,30;25,2;25,8;25,55;26,97;25,50;26,25
2;PM;L;D;PM.W.1.04b;3,54;3,23;9;3,01;4,76;3,06;3,61;4,73;2,57;2,22;3,37;16,76;17,24;17,34;18,61;17;17,96
2;PM;L;D;PM.W.1.04b;4,15;4,37;10;3,34;4,31;3,38;3,68;5,49;1,88;2,26;3,37;14,15;12,49;14,76;13,38;13,29;14,05
