"Eufriesea_atlantica","Eufriesea_auriceps","Eufriesea_dentilabris","Eufriesea_mussitans","Eufriesea_ornata","Eufriesea_smaragdina","Eufriesea_surinamensis","Eufriesea_violacea","Euglossa_adiastola","Euglossa_amazonica","Euglossa_analis","Euglossa_annectans","Euglossa_aratingae","Euglossa_augaspis","Euglossa_augaspula","Euglossa_avicula","Euglossa_bembei","Euglossa_calycina","Euglossa_carolina","Euglossa_chalybeata","Euglossa_clausi","Euglossa_cognata","Euglossa_cordata","Euglossa_crassipunctata","Euglossa_cyanochlora","Euglossa_cybelia","Euglossa_despecta","Euglossa_fimbriata","Euglossa_gaianii","Euglossa_hemichlora","Euglossa_ignita","Euglossa_imperialis","Euglossa_iopoecila","Euglossa_ioprosopa","Euglossa_leucotricha","Euglossa_liopoda","Euglossa_marianae","Euglossa_melanotricha","Euglossa_milenae","Euglossa_mixta","Euglossa_monnei","Euglossa_pepei","Euglossa_perpulchra","Euglossa_pleosticta","Euglossa_roderici","Euglossa_roubiki","Euglossa_sapphirina","Euglossa_securigera","Euglossa_stellfeldi","Euglossa_townsendi","Euglossa_truncata","Euglossa_viridis","Eulaema_atleticana","Eulaema_bombiformis","Eulaema_cingulata","Eulaema_flavescens","Eulaema_marcii","Eulaema_nigrita","Eulaema_niveofasciata","Exaerete_frontalis","Exaerete_smaragdina"
0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,25,0,0,1,0,0,0,89,0,0,492,0,0,12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,1,100,0,0,372,0,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1114,0,0,0,16,5,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,21,0,0,0,56,0,0,1,0,0,0,149,0,0,679,0,0,4
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,12,0,0,0,0,0,1,63,0,0,600,0,0,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,28,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1590,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,77,36,0,535,0,12,10
0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,9,0,0,140,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,6,0,0,0,0,0,0,56,0,0,100,0,0,0
0,0,0,0,1,0,0,0,0,0,21,0,0,0,0,0,0,0,0,51,0,0,95,0,0,3,0,4,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,140,26,0,0,0,3,0,0,95,0,0,100,0,0,1
0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,20,0,0,112,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,94,23,0,0,0,0,0,0,43,0,0,66,0,0,0
0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,10,0,0,52,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,43,6,0,0,0,2,0,0,40,0,0,100,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,34,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,62,18,0,0,0,1,0,0,15,0,0,143,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,125,0,0,1,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,81,74,0,0,0,1,0,0,37,0,0,292,0,0,0
0,0,0,0,1,0,0,0,0,0,41,0,0,0,0,0,0,0,0,34,0,0,106,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,51,30,0,0,0,2,0,0,38,0,0,89,0,0,0
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,99,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,5,56,0,0,0,1,0,0,41,0,0,76,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,17,24,0,1,1,1,0,0,38,0,0,56,0,0,5
0,0,0,0,0,0,0,6,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,45,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0
0,0,0,0,0,1,1,29,0,0,0,22,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,22,0,0,0
0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0
0,0,0,2,0,0,1,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,614,0,0,0,0,9,0,0,0,0,29,4,0,0,0,0,0,0,0,0,0,17,0,0,259,0,15,0,0,7,0,0,5,0,0,40,0,0,1
0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,1,9,0,50,0,2,0,1,0,0,0,35,0,0,8,0,0,0
0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,57,0,0,0,0,0,0,41,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,39,0,0,0,1,0,0,0,0,0,0,1,3,0,4,0,4,0,0,0,0,0,47,0,0,3,0,0,2
