"table","pop","sp","treat","plant","GAD","ASD","GSD","GA","UBW","UBL","LBL","LBW"
2,"CO","S","D","CO.W.1.00",2.47,1.12,3.81,3.17,19.29,17.8,20.63,20.79
2,"CO","S","D","CO.W.1.00",2.67,0,3.26,3.29,19.55,18.46,20.66,20.17
2,"CO","S","W","CO.W.1.00",2.04,2.01,4.59,3.27,19.8,17.29,19.55,20.83
2,"CO","S","W","CO.W.1.00",3.09,0.62,3.98,3.35,19.77,18.9,21.46,22.08
4,"CO","S","D","CO.W.1.01",2.27,0,4.17,2.53,15.44,16.32,17.24,17.57
4,"CO","S","D","CO.W.1.01",2.72,0.99,4.95,3.05,21.37,19.81,21.87,23.26
4,"CO","S","W","CO.W.1.01",2.57,0,3.69,3.51,21.8,19.69,22.93,22.97
4,"CO","S","W","CO.W.1.01",3.1,0,2.88,3.17,19.07,17.66,21.32,20.26
1,"CO","S","W","CO.W.1.02",3.26,0.68,3.84,3.24,22.29,20.21,23.94,22.59
1,"CO","S","W","CO.W.1.02",3.47,1.7,5.57,3.67,22.51,20.03,22.68,23.23
1,"CO","S","D","CO.W.1.02",2.71,0,3.06,2.89,18.72,16.41,18.8,19.86
1,"CO","S","D","CO.W.1.02",2.8,0,2.55,2.75,16.71,14.8,15.19,17.1
3,"CO","S","W","CO.W.1.03",2.55,0,2.79,2.87,15.26,14.92,16.2,16.51
3,"CO","S","W","CO.W.1.03",3.27,0,3.57,3.52,16.7,16.59,18.87,18.11
3,"CO","S","D","CO.W.1.03",2.33,0,2.84,2.8,13.29,12.79,14.31,14.24
3,"CO","S","D","CO.W.1.03",NA,NA,NA,NA,NA,NA,NA,NA
4,"CO","S","D","CO.W.1.04",2.31,0.56,3.26,2.79,17.3,16.23,18.21,18.55
4,"CO","S","D","CO.W.1.04",2.74,0,4.78,3.3,20.14,18.67,19.72,20.3
4,"CO","S","W","CO.W.1.04",3.17,2.95,5.3,3.33,22.19,16.6,19.96,22.47
4,"CO","S","W","CO.W.1.04",2.79,0.9,3.37,3.24,19.89,18.26,20.58,23.43
3,"CO","S","W","CO.W.1.05",2.85,1.85,4.64,3.52,21.85,21.04,25.3,24.24
3,"CO","S","W","CO.W.1.05",3.23,1.17,3.46,4.19,24.23,22.98,25.57,25.18
3,"CO","S","D","CO.W.1.05",NA,NA,NA,NA,NA,NA,NA,NA
3,"CO","S","D","CO.W.1.05",NA,NA,NA,NA,NA,NA,NA,NA
3,"CO","S","W","CO.W.1.06",2.63,0.24,5.82,3.57,25.45,26.28,29.74,25.65
3,"CO","S","W","CO.W.1.06",2.35,1.9,6.54,3.96,27.25,25.1,28.8,29.69
3,"CO","S","D","CO.W.1.06",1.97,0,2.75,3.3,17.49,16.8,19.01,19.25
3,"CO","S","D","CO.W.1.06",NA,NA,NA,NA,NA,NA,NA,NA
2,"CO","S","D","CO.W.1.07",2.58,0,3.77,3.31,19.01,18.65,19.9,21.16
2,"CO","S","D","CO.W.1.07",3.64,0,4.06,3.25,18.68,18.53,22,20.46
2,"CO","S","W","CO.W.1.07",3.54,0.33,4.8,3.52,22.47,19.31,21.96,23.01
2,"CO","S","W","CO.W.1.07",2.5,0,2.58,2.88,17.14,14.85,17.72,18.43
4,"CO","S","D","CO.W.1.08",2.73,0,5.31,2.97,19.72,18.38,21.8,21.9
4,"CO","S","D","CO.W.1.08",2.45,0,3.83,2.56,16.61,15.13,18.93,18.65
4,"CO","S","W","CO.W.1.08",2.73,0,2.45,2.91,18.35,17.38,19.28,19.24
