Patry	Hostplant	Sex	BL	OL	Wing_length	Wing_width	Wing_area	Melanized_area	Melanization_ratio	Baltic
Sympatry	Heterophyllum	Male	3.94	NA	4.455026455	1.873015873	6.630721424	3.710758377	55.96311683	East
Sympatry	Heterophyllum	Female	4.48	1.65	4.71	2.17	8.3428	5.3308	63.89701299	East
Sympatry	Heterophyllum	Male	4.61	NA	4.990196078	2.294117647	9.179546328	5.73923491	62.52198861	East
Sympatry	Heterophyllum	Female	5.31	1.78	5.611650485	2.582524272	11.51380903	7.06692431	61.37781416	East
Sympatry	Heterophyllum	Male	4.51	NA	4.46875	2.09375	7.638780382	4.755642361	62.25656614	East
Sympatry	Heterophyllum	Male	4.74	NA	4.90625	2.333333333	9.034179688	5.19140625	57.46405794	East
Sympatry	Heterophyllum	Male	4.66	NA	4.712871287	2.267326733	8.58072738	5.890010783	68.64232509	East
Sympatry	Heterophyllum	Male	4.72	NA	4.882352941	2.245098039	8.860053825	5.743367935	64.82317205	East
Sympatry	Heterophyllum	Female	5.03	1.87	5.352941176	2.529411765	10.90292195	6.684352172	61.3078971	East
Sympatry	Heterophyllum	Male	4.52	NA	4.298969072	2.134020619	7.466255713	4.172388139	55.88327402	East
Sympatry	Heterophyllum	Male	4.54	NA	4.715789474	2.136842105	7.900831025	4.507479224	57.05069771	East
Sympatry	Heterophyllum	Female	4.77	1.94	5.208333333	2.395833333	9.889648438	5.422851563	54.83361311	East
Sympatry	Heterophyllum	Male	4.61	NA	4.855721393	2.208955224	8.658696567	5.549664612	64.09353382	East
Sympatry	Heterophyllum	Female	4.66	1.77	4.882352941	2.382352941	9.215301807	6.014417532	65.26555134	East
Sympatry	Heterophyllum	Male	5.11	NA	5.404040404	2.464646465	10.69390878	6.601265177	61.72920781	East
Sympatry	Heterophyllum	Female	4.67	NA	4.949494949	2.191919192	8.866238139	5.736353433	64.69884232	East
Sympatry	Heterophyllum	Female	4.81	1.83	5.113300493	2.600985222	10.66776675	6.859472445	64.30092264	East
Sympatry	Heterophyllum	Female	4.85	1.84	5	2.346534653	9.484756396	6.283501617	66.24842384	East
Sympatry	Heterophyllum	Male	4.01	NA	4.45631068	2.067961165	7.506645301	4.99547554	66.54737688	East
Sympatry	Heterophyllum	Female	5.08	1.95	5.494949495	2.535353535	11.34506683	7.142128354	62.95360319	East
Sympatry	Heterophyllum	Male	5.1	NA	4.770833333	2.354166667	8.987304688	5.325195313	59.25241769	East
Sympatry	Heterophyllum	Male	4.74	NA	5.063157895	2.210526316	8.890083102	5.115235457	57.53866863	East
Sympatry	Heterophyllum	Female	4.97	1.87	5.484536082	2.463917526	10.78573706	5.63588054	52.25308672	East
Sympatry	Heterophyllum	Male	4.49	NA	4.59	2.2	8.2584	5.4281	65.72822823	East
Sympatry	Heterophyllum	Female	4.69	1.91	4.921568627	2.31372549	9.132160707	5.833237216	63.87576175	East
Sympatry	Heterophyllum	Male	4.5	NA	4.676923077	2.287179487	8.638316897	4.607389875	53.33666188	East
Sympatry	Heterophyllum	Female	4.85	1.9	5.208333333	2.322916667	9.487087674	5.316948785	56.04405659	East
Sympatry	Heterophyllum	Male	4.3	NA	4.204081633	1.948979592	6.448979592	3.589129529	55.65422371	East
Sympatry	Heterophyllum	Male	4.79	NA	5.141414141	2.303030303	9.497602285	5.774920926	60.80398771	East
Sympatry	Heterophyllum	Male	4.53	NA	4.587064677	2.099502488	7.826241925	5.0857157	64.9828583	East
Sympatry	Heterophyllum	Female	3.97	1.55	4.07	1.82	6.1955	4.0784	65.82842386	East
Sympatry	Heterophyllum	Male	4.71	NA	4.881188119	2.267326733	8.913930007	5.976570924	67.04754154	East
Sympatry	Heterophyllum	Female	4.36	1.75	4.82	2.2	8.6747	5.342	61.58138034	East
Sympatry	Heterophyllum	Male	4.27	NA	5.105527638	2.301507538	9.25966516	5.713997121	61.70846378	East
Sympatry	Heterophyllum	Male	4.49	NA	4.845360825	2.175257732	8.460516527	5.012116059	59.24125369	East
Sympatry	Heterophyllum	Female	4.57	1.7	4.804123711	2.18556701	8.336486343	4.401211606	52.79456386	East
Sympatry	Heterophyllum	Male	4.13	NA	4.881188119	2.267326733	8.850308793	5.6178806	63.47666201	East
Sympatry	Heterophyllum	Female	4.84	1.77	4.914572864	2.492462312	9.780965127	6.110451756	62.47289175	East
Sympatry	Heterophyllum	Male	4.41	NA	4.571428571	2.226600985	8.308961635	5.319614647	64.02261656	East
