"Eulaema_nigrita","method","effort","altitude","MAT","MAP","Tseason","Pseason","forest.","lu_het"
492,"NetTraps",4.18965474202643,6,235,1073,2036,53,0.044164038,1.05312985723099
372,"Traps",5.2040066870768,17,230,987,1760,49,0.182170543,0.757106275317399
679,"Traps",5.2040066870768,17,230,987,1760,49,0.182170543,0.757106275317399
600,"Traps",5.2040066870768,30,231,1030,1820,51,0.015772871,0.827757990901034
28,"Net",4.969813299576,0,259,1693,1074,62,0.05,0.967260442912774
535,"Net",4.969813299576,43,255,1697,1061,63,0.05,0.871133270599332
100,"Net",4.26969744969996,24,232,1127,2209,57,0.558730159,0.966058531700025
100,"Net",4.26969744969996,24,232,1127,2209,57,0.558730159,0.966058531700025
66,"Net",4.26969744969996,24,232,1127,2209,57,0.558730159,0.966058531700025
100,"Net",4.18965474202643,24,232,1127,2209,57,0.558730159,0.966058531700025
143,"Net",4.26969744969996,24,232,1127,2209,57,0.558730159,0.966058531700025
292,"Net",4.26969744969996,24,232,1127,2209,57,0.558730159,0.966058531700025
89,"Net",3.78418963391826,24,232,1127,2209,57,0.558730159,0.966058531700025
76,"Net",4.26969744969996,24,232,1127,2209,57,0.558730159,0.966058531700025
56,"Net",4.26969744969996,24,232,1127,2209,57,0.558730159,0.966058531700025
45,"NetTraps",5.25749537202778,961,162,2314,2289,39,0.563694268,0.817622685586041
5,"NetTraps",4.38202663467388,961,162,2314,2289,39,0.563694268,0.817622685586041
22,"NetTraps",5.25749537202778,789,167,3073,2327,34,0.564263323,0.684864739540431
1,"NetTraps",4.38202663467388,789,167,3073,2327,34,0.564263323,0.684864739540431
40,"NetTraps",5.25749537202778,569,189,2311,2280,42,0.100649351,0.673942816074958
8,"NetTraps",5.25749537202778,569,189,2311,2280,42,0.100649351,0.673942816074958
41,"NetTraps",5.25749537202778,875,178,1429,2201,62,0.442307692,1.02141027147968
3,"NetTraps",4.969813299576,10,236,2095,2213,41,0.75862069,0.688400692554739
93,"NetTraps",2.77258872223978,614,197,1311,2404,65,0.00952381,0.44110230167642
3,"NetTraps",2.77258872223978,1,224,2682,2311,40,0.5,0.943348392329039
1,"NetTraps",2.77258872223978,5,227,2451,2888,46,0.09478673,1.27403560740798
0,"NetTraps",2.77258872223978,130,221,2071,2286,41,0.8,0.500402423538188
3,"NetTraps",2.77258872223978,130,221,2071,2286,41,0.8,0.500402423538188
3,"Traps",9.07520769798469,447,228,1422,2357,35,0.025477707,1.07449812876442
35,"Traps",9.07520769798469,447,228,1422,2357,35,0.025477707,1.07449812876442
0,"Traps",4.35670882668959,65,213,2095,3283,45,0.888888889,0.422840779026537
1,"Net",4.35670882668959,65,213,2095,3283,45,0.888888889,0.422840779026537
6,"Net",3.73766961828337,725,197,1348,2291,70,0.079365079,1.21740320283661
47,"Net",2.70805020110221,89,246,1836,1032,58,0.115384615,1.26208487706109
43,"Net",2.70805020110221,89,246,1836,1032,58,0.115384615,1.26208487706109
25,"Net",2.70805020110221,89,246,1836,1032,58,0.115384615,1.26208487706109
25,"Net",2.70805020110221,89,246,1836,1032,58,0.115384615,1.26208487706109
7,"Net",2.70805020110221,89,246,1836,1032,58,0.116129032,1.254821440418
19,"Net",2.70805020110221,89,246,1836,1032,58,0.115755627,1.25389424420033
7,"Net",2.70805020110221,90,246,1828,1059,58,0.117460317,1.23276688294866
43,"Net",4.78749174278205,277,236,1144,1957,79,0.603773585,0.884361279972239
25,"Net",4.78749174278205,277,236,1144,1957,79,0.605678233,0.883792839259435
19,"Net",4.78749174278205,315,233,1157,1976,79,0.639240506,0.79826003607659
5,"Net",4.78749174278205,272,236,1136,1963,79,0.842767296,0.528284101324865
10,"Net",4.43081679884331,276,235,1141,1960,79,0.958598726,0.18359977041753
16,"Net",4.43081679884331,271,235,1135,1970,79,0.670926518,0.83296115317455
36,"Net",4.27666611901606,781,204,1386,1995,85,0.651757188,0.709990344281855
17,"Net",4.27666611901606,1233,178,1574,1879,82,0.567307692,0.721888672560013
4,"Net",4.27666611901606,1294,174,1594,1850,81,0.313099042,0.729294074982071
46,"Net",2.99573227355399,722,219,939,1694,60,0.24437299,0.556068379028712
45,"Net",2.99573227355399,513,231,896,1785,70,0.102893891,0.469996254463795
47,"Net",2.99573227355399,917,206,960,1667,57,0.389067524,0.668329150944692
