Order	Family	Genus	Species	Subspecies	Genus_Species	Sex	Sample size	Brain Volume (ml)	Method	Brain mass (g)	Body mass (g)	Specimen ID	Museum	Date (mm-dd-yyyy)	Locality	Coordinate	Age Class	Reference	Remark
Accipitriformes	Accipitridae	Accipiter	cirrocephalus		Accipiter_cirrocephalus	f	1	2.5	Vol		202.7	MV B16071	Museum Victoria				unknown	This study (Andrew Iwaniuk unpublished data)	
Accipitriformes	Accipitridae	Accipiter	cirrocephalus		Accipiter_cirrocephalus	f	1	2.4	Vol		203.9	MV B20243	Museum Victoria				unknown	This study (Andrew Iwaniuk unpublished data)	
Accipitriformes	Accipitridae	Accipiter	cirrocephalus		Accipiter_cirrocephalus	f	1	2.6	Vol		200.5	MVW9876					unknown	This study (Andrew Iwaniuk unpublished data)	
Accipitriformes	Accipitridae	Accipiter	cirrocephalus		Accipiter_cirrocephalus	m	1	2.2	Vol		137.5	MVW6745					unknown	This study (Andrew Iwaniuk unpublished data)	
Accipitriformes	Accipitridae	Accipiter	cooperii		Accipiter_cooperii	f	1	5.2	Vol		414	USNM621364	National Museum of Natural History				unknown	This study (Andrew Iwaniuk unpublished data)	
Accipitriformes	Accipitridae	Accipiter	cooperii		Accipiter_cooperii	f	1	3.8	Vol		334	PMA 72.102.33	Royal Alberta Museum				unknown	This study (Andrew Iwaniuk unpublished data)	
Accipitriformes	Accipitridae	Accipiter	cooperii		Accipiter_cooperii	f	1	4	Vol		323.2	PMA 81.8.16	Royal Alberta Museum				unknown	This study (Andrew Iwaniuk unpublished data)	
Accipitriformes	Accipitridae	Accipiter	cooperii		Accipiter_cooperii	m	1	4.8	Vol		309	USNM501627	National Museum of Natural History				unknown	This study (Andrew Iwaniuk unpublished data)	
Accipitriformes	Accipitridae	Accipiter	cooperii		Accipiter_cooperii	m	1	4	Vol		269.6	PMA 90.45.18	Royal Alberta Museum				unknown	This study (Andrew Iwaniuk unpublished data)	
Accipitriformes	Accipitridae	Accipiter	fasciatus		Accipiter_fasciatus	f	1	4.7	Vol		480	ANWC22753	Australian National Wildlife Collection				unknown	This study (Andrew Iwaniuk unpublished data)	
Accipitriformes	Accipitridae	Accipiter	fasciatus		Accipiter_fasciatus	m	1	4.6	Vol		325	MV B19842	Museum Victoria				unknown	This study (Andrew Iwaniuk unpublished data)	
Accipitriformes	Accipitridae	Accipiter	fasciatus		Accipiter_fasciatus	unknown	1	4.5	Vol		499.3	MV B13091	Museum Victoria				unknown	This study (Andrew Iwaniuk unpublished data)	
Accipitriformes	Accipitridae	Accipiter	gentilis	gentilis	Accipiter_gentilis	f	1		Mass	7.575	1165.000	HoBR181347	House of Bird Research collection	5-15-1985	Åbenrå, DK	55.03N 09.25E	Adult	This study (Johannes Erritzøe House of Bird Research collection)	
Accipitriformes	Accipitridae	Accipiter	gentilis	gentilis	Accipiter_gentilis	f	1		Mass	7.620	902.600	HoBR171617	House of Bird Research collection	8-15-1986	Skovby, DK	55.10N 09.23E	Adult	This study (Johannes Erritzøe House of Bird Research collection)	
Accipitriformes	Accipitridae	Accipiter	gentilis	gentilis	Accipiter_gentilis	f	1		Mass	7.348	1040.000	HoBR354046	House of Bird Research collection	10-xx-2013	Funen, DK	55.20N 10.15E	Adult	This study (Johannes Erritzøe House of Bird Research collection)	
Accipitriformes	Accipitridae	Accipiter	gentilis	gentilis	Accipiter_gentilis	f	1		Mass	7.800	1120.000	HoBR257366	House of Bird Research collection	11-xx-1987	Rødding, DK	55.22N 09.04E	Adult	This study (Johannes Erritzøe House of Bird Research collection)	
Accipitriformes	Accipitridae	Accipiter	gentilis	gentilis	Accipiter_gentilis	f	1		Mass	7.900	767.000	HoBR257546	House of Bird Research collection	3-25-1993	near Kolding, DK, 	55.29N 09.28E 	Adult	This study (Johannes Erritzøe House of Bird Research collection)	
Accipitriformes	Accipitridae	Accipiter	gentilis	gentilis	Accipiter_gentilis	f	1		Mass	7.580	1150.000	HoBR215553	House of Bird Research collection	3-23-1974	Pajhede Skov, DK	57.11N 10.10E 	Adult	This study (Johannes Erritzøe House of Bird Research collection)	
Accipitriformes	Accipitridae	Accipiter	gentilis	gentilis	Accipiter_gentilis	f	1		Mass	7.980	1199.500	HoBR167130	House of Bird Research collection				Adult	This study (Johannes Erritzøe House of Bird Research collection)	
Accipitriformes	Accipitridae	Accipiter	gentilis	gentilis	Accipiter_gentilis	m	1		Mass	8.150	604.700	HoBR257668	House of Bird Research collection	8-5-2000	Kelstrup, DK	55.12N 09.33E 	Adult	This study (Johannes Erritzøe House of Bird Research collection)	
Accipitriformes	Accipitridae	Accipiter	gentilis	gentilis	Accipiter_gentilis	m	1		Mass	7.580	809.000	HoBR235179	House of Bird Research collection	1-27-1988	Vamdrup, DK	55.25N 09.17E	Adult	This study (Johannes Erritzøe House of Bird Research collection)	
Accipitriformes	Accipitridae	Accipiter	gentilis	gentilis	Accipiter_gentilis	m	1		Mass	7.880	561.000	HoBR216056	House of Bird Research collection	9-5-1993	Kolding, DK, 	55.29N 09.28E 	Adult	This study (Johannes Erritzøe House of Bird Research collection)	
Accipitriformes	Accipitridae	Accipiter	gentilis	gentilis	Accipiter_gentilis	m	1		Mass	8.030	848.500	HoBR215623	House of Bird Research collection				Adult	This study (Johannes Erritzøe House of Bird Research collection)	
Accipitriformes	Accipitridae	Accipiter	gentilis	gentilis	Accipiter_gentilis	m	1		Mass	7.120	545.500	HoBR215651	House of Bird Research collection				Adult	This study (Johannes Erritzøe House of Bird Research collection)	
Accipitriformes	Accipitridae	Accipiter	gentilis	gentilis	Accipiter_gentilis	m	1		Mass	6.951	701.000	HoBR314311	House of Bird Research collection	1989			Adult	This study (Johannes Erritzøe House of Bird Research collection)	
Accipitriformes	Accipitridae	Accipiter	gentilis		Accipiter_gentilis	f	1	7.9	Vol		1105.9	PMA 78.3.12	Royal Alberta Museum				unknown	This study (Andrew Iwaniuk unpublished data)	
Accipitriformes	Accipitridae	Accipiter	gentilis		Accipiter_gentilis	f	1	8.1	Vol		1092.2	PMA 83.26.28	Royal Alberta Museum				unknown	This study (Andrew Iwaniuk unpublished data)	
Accipitriformes	Accipitridae	Accipiter	gentilis		Accipiter_gentilis	f	1	8.15	Vol		1128.5	PMA 83.62.19	Royal Alberta Museum				unknown	This study (Andrew Iwaniuk unpublished data)	
Accipitriformes	Accipitridae	Accipiter	gentilis		Accipiter_gentilis	f	1	8.3	Vol		1123	PMA 83.62.23	Royal Alberta Museum				unknown	This study (Andrew Iwaniuk unpublished data)	
Accipitriformes	Accipitridae	Accipiter	gentilis		Accipiter_gentilis	f	1	8.15	Vol		1017.3	PMA 83.62.32	Royal Alberta Museum				unknown	This study (Andrew Iwaniuk unpublished data)	
Accipitriformes	Accipitridae	Accipiter	gentilis		Accipiter_gentilis	f	1	8	Vol		1251	PMA 84.50.27	Royal Alberta Museum				unknown	This study (Andrew Iwaniuk unpublished data)	
Accipitriformes	Accipitridae	Accipiter	gentilis		Accipiter_gentilis	f	1	8	Vol		1061.8	PMA 84.50.8	Royal Alberta Museum				unknown	This study (Andrew Iwaniuk unpublished data)	
Accipitriformes	Accipitridae	Accipiter	gentilis		Accipiter_gentilis	f	1	8.5	Vol		570.3	PMA 86.4.46	Royal Alberta Museum				unknown	This study (Andrew Iwaniuk unpublished data)	
Accipitriformes	Accipitridae	Accipiter	gentilis		Accipiter_gentilis	f	1	7.7	Vol		665.9	PMA 87.42.29	Royal Alberta Museum				unknown	This study (Andrew Iwaniuk unpublished data)	
Accipitriformes	Accipitridae	Accipiter	gentilis		Accipiter_gentilis	m	1	7.15	Vol		460.8	PMA 76.11.3	Royal Alberta Museum				unknown	This study (Andrew Iwaniuk unpublished data)	
Accipitriformes	Accipitridae	Accipiter	gentilis		Accipiter_gentilis	m	1	7.7	Vol		626.8	PMA 78.3.11	Royal Alberta Museum				unknown	This study (Andrew Iwaniuk unpublished data)	
Accipitriformes	Accipitridae	Accipiter	gentilis		Accipiter_gentilis	m	1	8.15	Vol		570.5	PMA 81.146.78	Royal Alberta Museum				unknown	This study (Andrew Iwaniuk unpublished data)	
