"Carex.bigelowii","Thalictrum.alpinum","mean_T_winter","max_T_winter","min_T_winter","mean_T_summer","max_T_summer","min_T_summer","light","snow","soil_moist","altitude"
0,0,-3.3,-1,-6.5,12,23.5,5,81.9,0,20.9,1142.9
0,0,-2.3,-0.75,-5.25,11.3,23.5,4,8,3,16.4,1144.8
0,0,-2.4,-0.75,-5,11.3,20.75,5.25,23,5,19.7,1142.5
0,0,-2.9,-0.75,-6.25,12.2,26.75,4.75,51.4,0,20.9,1142.5
1,0,-2.5,4.5,-5.5,11.6,19,6,13.8,0,14.5,1139.7
1,0,-2.3,-0.5,-4.5,11,19.5,5,13.1,5,22.1,1140.4
0,0,-2.8,-0.75,-5.25,10.8,19.25,5,66,0,21.6,1140.4
1,0,-3.1,-1,-6.5,11.4,21.5,5.5,55.7,0,16.5,1139
0,0,-3.5,-0.5,-7.25,11.8,22.5,5,34,0,17.3,1136.6
1,0,-2.5,-1,-5.25,10.9,20.25,4.75,32.2,2,14.5,1136
0,0,-3,-1,-5.75,11.1,19.5,5.5,28.4,2,18.6,1135.6
0,0,-2.6,-0.75,-5.25,11.1,20.25,4.75,31,0,18.1,1137.5
0,0,-3,-1.5,-5.25,11.2,19,5.5,13.5,0,21.4,1145.4
0,0,-3.5,-1,-6.5,11.3,20,5.5,8.7,0,16.2,1144.2
0,0,-2.9,-1,-6,11.2,21.5,5,12.5,0,16.9,1145.8
0,0,-3.2,-1,-6.5,11.6,20.75,5.5,77.3,0,14.1,1145
0,0,-4.3,-1.5,-8.75,11.4,24.75,4.5,48.8,0,14.8,1143
0,0,-2.7,-1,-5,11.4,19,5.75,63.7,0,17.6,1143.6
0,0,-3.5,-1.25,-6.25,11.2,19.75,5.25,40.1,0,10.7,1142.1
0,0,-3.1,-1.25,-5.75,11.5,23,5,69,0,10.1,1141.7
0,0,-2.3,-1,-4.5,10.9,19.5,5,12.4,0,14.2,1139.1
0,0,-2.6,-1,-5,11,18.25,5.75,50.7,0,20.2,1138
0,0,-2.4,-0.75,-5.25,11.1,18.75,5.5,17.5,0,21.4,1136.9
0,0,-2.8,-0.75,-5.75,11.4,20,5.5,29.4,0,12.6,1135.7
