"Population","Mother","Cross_id","Block","Treatment","newseedsize","Germinated"
"LM","19.4x18.3A","LM_1","1",3.5,0.0296853146851729,0
"LM","19.4x18.3A","LM_1","1",7,-0.0703146853145818,0
"LM","19.4x18.3A","LM_1","1",14,0.109685314685293,0
"LM","19.4x18.3A","LM_1","1",28,0.0796853146853481,0
"LM","19.4x18.3A","LM_1","1",56,0.039685314685315,0
"LM","19.4x18.3A","LM_1","1",112,-0.040314685314685,0
"LM","13.3x10.1A","LM_2","1",3.5,0.339685314685315,0
"LM","13.3x10.1A","LM_2","1",7,0.369685314685315,0
"LM","13.3x10.1A","LM_2","1",14,0.379685314685315,0
"LM","13.3x10.1A","LM_2","1",28,0.359685314685314,0
"LM","13.3x10.1A","LM_2","1",56,0.369685314685315,0
"LM","13.3x10.1A","LM_2","1",112,0.399685314685314,0
"LM","12.4x1.4A","LM_3","1",3.5,0.109685314685314,0
"LM","12.4x1.4A","LM_3","1",7,0.0696853146853148,0
"LM","12.4x1.4A","LM_3","1",14,0.0696853146853148,0
"LM","12.4x1.4A","LM_3","1",28,0.0996853146853146,0
"LM","12.4x1.4A","LM_3","1",56,0.0796853146853151,0
"LM","12.4x1.4A","LM_3","1",112,0.0296853146853148,0
"LM","18.3x8.4A","LM_4","1",3.5,-0.120314685314685,0
"LM","18.3x8.4A","LM_4","1",7,-0.190314685314685,0
"LM","18.3x8.4A","LM_4","1",14,-0.130314685314685,0
"LM","18.3x8.4A","LM_4","1",28,-0.130314685314685,0
"LM","18.3x8.4A","LM_4","1",56,-0.140314685314685,0
"LM","18.3x8.4A","LM_4","1",112,-0.130314685314685,0
"LM","13.3x10.1A","LM_5","1",3.5,0.319685314685315,0
"LM","13.3x10.1A","LM_5","1",7,0.269685314685315,0
"LM","13.3x10.1A","LM_5","1",14,0.329685314685315,0
"LM","13.3x10.1A","LM_5","1",28,0.199685314685315,0
"LM","13.3x10.1A","LM_5","1",56,0.199685314685315,0
"LM","13.3x10.1A","LM_5","1",112,0.209685314685315,0
"LM","12.4x1.4A","LM_6","1",3.5,0.0296853146853148,0
"LM","12.4x1.4A","LM_6","1",7,0.0596853146853151,0
"LM","12.4x1.4A","LM_6","1",14,0.0996853146853146,0
"LM","12.4x1.4A","LM_6","1",28,0.0996853146853146,0
"LM","12.4x1.4A","LM_6","1",56,-0.040314685314685,0
"LM","12.4x1.4A","LM_6","1",112,0.0996853146853146,0
"LM","12.4x1.4A","LM_7","1",3.5,0.119685314685315,0
"LM","12.4x1.4A","LM_7","1",7,0.109685314685314,0
"LM","12.4x1.4A","LM_7","1",14,0.0996853146853146,0
"LM","12.4x1.4A","LM_7","1",28,0.0296853146853148,0
"LM","12.4x1.4A","LM_7","1",56,0.129685314685315,0
"LM","12.4x1.4A","LM_7","1",112,0.119685314685315,0
"LM","18.3x8.4A","LM_8","1",3.5,-0.0603146853146851,0
"LM","18.3x8.4A","LM_8","1",7,-0.020314685314685,0
"LM","18.3x8.4A","LM_8","1",14,-0.0103146853146852,0
"LM","18.3x8.4A","LM_8","1",28,0.00968531468531478,0
"LM","18.3x8.4A","LM_8","1",56,-0.100314685314685,0
"LM","18.3x8.4A","LM_8","1",112,-0.0803146853146851,0
"LM","15.4x3.4A","LM_9","1",3.5,-0.0603146853146851,0
"LM","15.4x3.4A","LM_9","1",7,-0.0303146853146852,0
"LM","15.4x3.4A","LM_9","1",14,-0.160314685314685,0
"LM","15.4x3.4A","LM_9","1",28,-0.0103146853146852,0
"LM","15.4x3.4A","LM_9","1",56,-0.0103146853146852,0
"LM","15.4x3.4A","LM_9","1",112,-0.0103146853146852,0
"LM","5.3x12.4A","LM_10","1",3.5,0.109685314685314,0
"LM","5.3x12.4A","LM_10","1",7,0.00968531468531478,0
"LM","5.3x12.4A","LM_10","1",14,0.0496853146853148,0
"LM","5.3x12.4A","LM_10","1",28,0.0496853146853148,0
"LM","5.3x12.4A","LM_10","1",56,-0.000314685314685002,0
"LM","5.3x12.4A","LM_10","1",112,0.0996853146853146,0
"LM","12.3x5.3A","LM_11","1",3.5,0.0496853146853148,0
"LM","12.3x5.3A","LM_11","1",7,0.039685314685315,0
"LM","12.3x5.3A","LM_11","1",14,0.0496853146853148,0
"LM","12.3x5.3A","LM_11","1",28,0.039685314685315,0
"LM","12.3x5.3A","LM_11","1",56,0.0696853146853148,0
"LM","12.3x5.3A","LM_11","1",112,-0.000314685314685002,0
"LM","9.3x12.4","LM_12","1",3.5,-0.100314685314685,0
"LM","9.3x12.4","LM_12","1",7,0.019685314685315,0
"LM","9.3x12.4","LM_12","1",14,-0.020314685314685,0
"LM","9.3x12.4","LM_12","1",28,-0.0503146853146853,0
"LM","9.3x12.4","LM_12","1",56,-0.040314685314685,0
"LM","9.3x12.4","LM_12","1",112,-0.0503146853146853,0
"LM","12.3x5.3A","LM_13","1B",3.5,-0.130314685314685,0
"LM","12.3x5.3A","LM_13","1B",7,-0.100314685314685,0
"LM","12.3x5.3A","LM_13","1B",14,-0.210314685314685,0
"LM","12.3x5.3A","LM_13","1B",28,-0.0903146853146853,0
"LM","12.3x5.3A","LM_13","1B",56,-0.0903146853146853,0
"LM","12.3x5.3A","LM_13","1B",112,-0.180314685314685,0
"LM","13.3x10.1A","LM_14","1B",3.5,0.0496853146853148,0
"LM","13.3x10.1A","LM_14","1B",7,0.119685314685315,0
"LM","13.3x10.1A","LM_14","1B",14,0.109685314685314,0
"LM","13.3x10.1A","LM_14","1B",28,-0.0103146853146852,0
"LM","13.3x10.1A","LM_14","1B",56,0.0696853146853148,0
"LM","13.3x10.1A","LM_14","1B",112,0.109685314685314,1
"LM","6.3x1.4A","LM_15","1B",3.5,-0.160314685314685,0
"LM","6.3x1.4A","LM_15","1B",7,-0.180314685314685,0
"LM","6.3x1.4A","LM_15","1B",14,-0.260314685314685,0
"LM","6.3x1.4A","LM_15","1B",28,-0.220314685314685,0
"LM","6.3x1.4A","LM_15","1B",56,-0.220314685314685,0
"LM","6.3x1.4A","LM_15","1B",112,-0.190314685314685,0
"LM","18.3x8.4A","LM_16","1B",3.5,-0.110314685314685,0
"LM","18.3x8.4A","LM_16","1B",7,-0.120314685314685,0
"LM","18.3x8.4A","LM_16","1B",14,-0.220314685314685,0
"LM","18.3x8.4A","LM_16","1B",28,-0.140314685314685,0
"LM","18.3x8.4A","LM_16","1B",56,-0.150314685314685,0
