"method","effort","altitude","MAT","MAP","Tseason","Pseason","forest.","lu_het"
"NetTraps",4.18965474202643,6,235,1073,2036,53,0.044164038,1.05312985723099
"Traps",5.2040066870768,17,230,987,1760,49,0.182170543,0.757106275317399
"Traps",5.2040066870768,17,230,987,1760,49,0.182170543,0.757106275317399
"Traps",5.2040066870768,30,231,1030,1820,51,0.015772871,0.827757990901034
"Net",4.969813299576,0,259,1693,1074,62,0.05,0.967260442912774
"Net",4.969813299576,43,255,1697,1061,63,0.05,0.871133270599332
"Net",4.26969744969996,24,232,1127,2209,57,0.558730159,0.966058531700025
"Net",4.26969744969996,24,232,1127,2209,57,0.558730159,0.966058531700025
"Net",4.26969744969996,24,232,1127,2209,57,0.558730159,0.966058531700025
"Net",4.18965474202643,24,232,1127,2209,57,0.558730159,0.966058531700025
"Net",4.26969744969996,24,232,1127,2209,57,0.558730159,0.966058531700025
"Net",4.26969744969996,24,232,1127,2209,57,0.558730159,0.966058531700025
"Net",3.78418963391826,24,232,1127,2209,57,0.558730159,0.966058531700025
"Net",4.26969744969996,24,232,1127,2209,57,0.558730159,0.966058531700025
"Net",4.26969744969996,24,232,1127,2209,57,0.558730159,0.966058531700025
"NetTraps",5.25749537202778,961,162,2314,2289,39,0.563694268,0.817622685586041
"NetTraps",4.38202663467388,961,162,2314,2289,39,0.563694268,0.817622685586041
"NetTraps",5.25749537202778,789,167,3073,2327,34,0.564263323,0.684864739540431
"NetTraps",4.38202663467388,789,167,3073,2327,34,0.564263323,0.684864739540431
"NetTraps",5.25749537202778,569,189,2311,2280,42,0.100649351,0.673942816074958
"NetTraps",5.25749537202778,569,189,2311,2280,42,0.100649351,0.673942816074958
"NetTraps",5.25749537202778,875,178,1429,2201,62,0.442307692,1.02141027147968
"NetTraps",4.969813299576,10,236,2095,2213,41,0.75862069,0.688400692554739
"NetTraps",2.77258872223978,614,197,1311,2404,65,0.00952381,0.44110230167642
"NetTraps",2.77258872223978,1,224,2682,2311,40,0.5,0.943348392329039
"NetTraps",2.77258872223978,5,227,2451,2888,46,0.09478673,1.27403560740798
"NetTraps",2.77258872223978,130,221,2071,2286,41,0.8,0.500402423538188
"NetTraps",2.77258872223978,130,221,2071,2286,41,0.8,0.500402423538188
"Traps",9.07520769798469,447,228,1422,2357,35,0.025477707,1.07449812876442
"Traps",9.07520769798469,447,228,1422,2357,35,0.025477707,1.07449812876442
"Traps",4.35670882668959,65,213,2095,3283,45,0.888888889,0.422840779026537
"Net",4.35670882668959,65,213,2095,3283,45,0.888888889,0.422840779026537
"Net",3.73766961828337,725,197,1348,2291,70,0.079365079,1.21740320283661
"Net",2.70805020110221,89,246,1836,1032,58,0.115384615,1.26208487706109
"Net",2.70805020110221,89,246,1836,1032,58,0.115384615,1.26208487706109
"Net",2.70805020110221,89,246,1836,1032,58,0.115384615,1.26208487706109
"Net",2.70805020110221,89,246,1836,1032,58,0.115384615,1.26208487706109
"Net",2.70805020110221,89,246,1836,1032,58,0.116129032,1.254821440418
"Net",2.70805020110221,89,246,1836,1032,58,0.115755627,1.25389424420033
"Net",2.70805020110221,90,246,1828,1059,58,0.117460317,1.23276688294866
"Net",4.78749174278205,277,236,1144,1957,79,0.603773585,0.884361279972239
"Net",4.78749174278205,277,236,1144,1957,79,0.605678233,0.883792839259435
"Net",4.78749174278205,315,233,1157,1976,79,0.639240506,0.79826003607659
"Net",4.78749174278205,272,236,1136,1963,79,0.842767296,0.528284101324865
"Net",4.43081679884331,276,235,1141,1960,79,0.958598726,0.18359977041753
"Net",4.43081679884331,271,235,1135,1970,79,0.670926518,0.83296115317455
"Net",4.27666611901606,781,204,1386,1995,85,0.651757188,0.709990344281855
"Net",4.27666611901606,1233,178,1574,1879,82,0.567307692,0.721888672560013
"Net",4.27666611901606,1294,174,1594,1850,81,0.313099042,0.729294074982071
"Net",2.99573227355399,722,219,939,1694,60,0.24437299,0.556068379028712
"Net",2.99573227355399,513,231,896,1785,70,0.102893891,0.469996254463795
"Net",2.99573227355399,917,206,960,1667,57,0.389067524,0.668329150944692
"Net",2.99573227355399,843,208,1079,1570,25,0.410828025,1.03807915264867
"Net",2.99573227355399,843,208,1079,1570,25,0.410828025,1.03807915264867
"Net",2.99573227355399,816,210,1068,1505,25,0.453968254,0.999797349347028
"Net",2.99573227355399,795,211,1053,1542,26,0.4,1.04278138149873
"Net",2.99573227355399,157,244,1108,1507,32,0.092651757,0.910224099834302
"Net",2.99573227355399,38,243,1635,1039,10,0.896103896,0.333560212328849
"Net",3.04452243772342,38,243,1635,1039,10,0.913242009,0.294972123216011
"Net",2.99573227355399,75,241,1599,1082,10,0.953974895,0.18664074392144
"Net",3.17805383034795,99,238,1197,1545,51,0.651757188,0.987609664617264
"Net",2.99573227355399,65,240,1210,1596,49,0.506410256,1.11810982323976
"Net",2.99573227355399,36,240,1230,1583,46,0.682539683,0.852793641323444
"Net",2.99573227355399,39,240,1226,1604,47,0.595611285,1.05490624242794
"Net",2.99573227355399,68,240,1210,1624,49,0.552050473,1.11588699159762
"Net",2.99573227355399,118,240,1395,1311,15,0.867088608,0.476032155519815
"Net",2.99573227355399,102,240,1446,1271,16,0.798107256,0.547242331218974
"Net",2.99573227355399,87,239,1509,1229,20,0.731629393,0.907717881005561
"Net",2.99573227355399,84,240,1541,1205,20,0.387820513,1.21057661422174
"Net",3.68887945411394,179,240,1258,1385,16,0.653968254,0.831329452088077
"Net",3.68887945411394,179,240,1258,1385,16,0.653968254,0.831329452088077
"Net",3.68887945411394,155,241,1255,1385,16,0.68488746,0.760654144217894
"Net",3.68887945411394,155,241,1255,1385,16,0.68488746,0.760654144217894
"Net",3.68887945411394,155,241,1255,1385,16,0.630573248,0.779017321013379
"Net",3.68887945411394,155,241,1255,1385,16,0.630573248,0.779017321013379
"Net",2.99573227355399,78,244,1100,1353,22,0.728434505,0.687312848076022
"Net",2.99573227355399,78,244,1100,1353,22,0.728434505,0.687312848076022
"Net",2.99573227355399,68,244,1118,1328,22,0.734824281,0.706424084177676
"Net",2.99573227355399,155,243,1218,1423,18,0.382165605,1.2254891688461
"Net",2.99573227355399,155,243,1218,1423,18,0.382165605,1.2254891688461
"Net",2.99573227355399,155,243,1218,1423,18,0.382165605,1.2254891688461
"Net",2.99573227355399,155,243,1218,1423,18,0.382165605,1.2254891688461
"Net",2.99573227355399,20,249,1126,1405,21,0.057692308,1.12124838973023
"Net",2.99573227355399,114,245,1161,1415,21,0.318611987,1.14913785808438
"Net",2.99573227355399,577,217,1217,1956,73,0.143312102,0.766105256975399
"Net",2.99573227355399,577,217,1217,1956,73,0.148264984,0.786214329789365
"Net",2.99573227355399,152,236,1916,1125,16,0.434504792,0.950220688425297
"Net",2.99573227355399,229,231,1927,1119,16,0.293375394,0.926045872325834
"Net",2.99573227355399,41,245,1633,962,18,0.136507937,1.05628331607259
"Net",2.30258509299405,825,200,1135,1278,20,0.041401274,0.576751013559636
"Net",2.99573227355399,825,200,1135,1278,20,0.041401274,0.576751013559636
"Traps",4.15888308335967,157,249,1296,1195,60,0.234920635,1.21753389888457
"Traps",4.15888308335967,157,249,1296,1195,60,0.234920635,1.21753389888457
"Net",2.484906649788,625,204,1501,2449,36,0.339622642,1.24571567276589
"Net",2.484906649788,625,204,1501,2449,36,0.339622642,1.24571567276589
"Net",2.484906649788,625,204,1501,2449,36,0.339622642,1.24571567276589
