ID;Treatm;Poll;Nutr;StdH;StdFl;StdC;StdSp;RelFit
3;C;C;0;0,04;-0,28;0,49;-0,97;0,00
13;C;C;0;0,80;0,03;2,02;0,57;0,00
23;C;C;0;1,26;0,96;-1,65;0,05;0,00
53;C;C;0;-2,07;-2,14;-0,40;0,34;0,00
63;C;C;0;0,11;-0,59;-1,54;-1,75;0,00
83;C;C;0;-0,65;-0,59;-1,58;-0,39;1,24
93;C;C;0;-0,27;-0,90;-1,81;-0,79;0,00
123;C;C;0;1,15;0,65;1,17;-0,87;0,26
133;C;C;0;-2,72;-0,90;0,26;-1,35;0,00
153;C;C;0;0,34;2,20;-0,31;-1,27;0,50
183;C;C;0;-1,61;-0,59;-1,65;-1,73;0,00
193;C;C;0;1,03;-0,59;0,65;0,97;0,00
233;C;C;0;-0,34;-1,52;0,99;-0,87;0,00
253;C;C;0;1,34;0,34;0,56;0,97;3,34
323;C;C;0;1,38;1,27;0,33;0,17;5,02
333;C;C;0;0,69;0,65;-0,38;-1,22;0,00
343;C;C;0;-0,15;1,27;-1,50;0,66;4,02
353;C;C;0;1,72;0,65;0,28;1,34;1,18
363;C;C;0;-0,50;-0,59;-0,90;-0,56;0,00
373;C;C;0;-0,19;1,58;-1,94;-1,42;0,00
383;C;C;0;-1,84;-1,52;0,25;1,36;0,00
393;C;C;0;0,46;-0,59;-0,87;-0,47;0,00
403;C;C;0;0,88;0,65;-0,97;0,06;4,06
413;C;C;0;0,54;0,34;-0,06;-0,43;1,27
423;C;C;0;0,15;-1,21;1,24;0,01;2,40
463;C;C;0;-0,11;-0,90;-0,76;-0,54;3,07
503;C;C;0;-2,11;-0,59;-0,67;-0,47;0,00
523;C;C;0;0,42;-1,83;1,02;0,09;0,00
533;C;C;0;0,31;-0,28;-0,61;-0,07;0,00
543;C;C;0;-0,50;0,34;-0,22;2,25;3,03
553;C;C;0;-1,00;0,96;0,96;0,89;4,62
563;C;C;0;-0,34;0,65;-0,26;-0,39;0,00
573;C;C;0;-0,80;0,03;0,58;-0,63;0,52
593;C;C;0;-0,11;0,65;0,05;0,02;0,48
613;C;C;0;-0,08;-0,90;0,45;0,89;0,86
623;C;C;0;1,11;1,27;-1,67;-2,47;0,57
633;C;C;0;1,03;2,82;0,96;0,97;5,04
643;C;C;0;-0,73;0,96;0,11;0,25;1,00
